augmentation_idx,avg,min,max
0,1.4381450414657593,1.4381450414657593,1.6207921504974365
1,1.2119780778884888,1.2119780778884888,1.2740908861160278
2,1.0241986513137817,1.0241986513137817,1.156785249710083
3,1.2609044313430786,1.2609044313430786,1.3129905462265015
4,1.0904265642166138,1.0904265642166138,1.1298818588256836
5,1.2568398714065552,1.2568398714065552,1.3153983354568481
6,1.0663485527038574,1.0663485527038574,1.1294280290603638
7,1.0540149211883545,1.0540149211883545,1.154930830001831
8,1.055806040763855,1.055806040763855,1.3712736368179321
9,1.0884037017822266,1.0884037017822266,1.4297538995742798
10,1.1931771039962769,1.1931771039962769,1.2530672550201416
