run_idx,synthetic_pct,mae,dataset,k,variant,source_file
0,0,0.0117194075137376,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
1,0,0.0126294018700718,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
2,0,0.0120262829586863,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
3,0,0.0118029909208416,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
4,0,0.0113150151446461,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
5,0,0.0107350284233689,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
6,0,0.0123489014804363,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
7,0,0.0116949249058961,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
8,0,0.0130327874794602,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
9,0,0.0116347959265112,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
10,0,0.0123698944225907,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
11,0,0.0114408722147345,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
12,0,0.0113568492233753,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
13,0,0.0116142565384507,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
14,0,0.0114447483792901,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
15,0,0.0113920653238892,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
16,0,0.0119669651612639,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
17,0,0.0131466956809163,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
18,0,0.0114828217774629,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
19,0,0.0115588754415512,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
20,0,0.0110718021169304,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
21,0,0.0118216723203659,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
22,0,0.0109559278935194,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
23,0,0.0116211511194705,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
24,0,0.0122863063588738,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
25,0,0.0125863896682858,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
26,0,0.0116436714306473,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
27,0,0.0130599364638328,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
28,0,0.0121449744328856,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
29,0,0.011757668107748,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
0,10,0.0269553903490304,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
1,10,0.0157050546258687,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
2,10,0.0193814318627119,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
3,10,0.0241470001637935,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
4,10,0.0191170666366815,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
5,10,0.0157441664487123,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
6,10,0.0190919265151023,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
7,10,0.0212786588817834,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
8,10,0.0181399267166852,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
9,10,0.0179094579070806,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
10,10,0.0241824071854352,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
11,10,0.032599426805973,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
12,10,0.01910843513906,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
13,10,0.0186555050313472,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
14,10,0.0208407435566186,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
15,10,0.0185445398092269,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
16,10,0.0221150796860456,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
17,10,0.0174798220396041,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
18,10,0.0266385655850172,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
19,10,0.0242992658168077,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
20,10,0.016399560496211,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
21,10,0.0219620671123266,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
22,10,0.0191113017499446,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
23,10,0.0190261583775281,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
24,10,0.0157867614179849,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
25,10,0.0232918765395879,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
26,10,0.0159286651760339,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
27,10,0.0235926453024148,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
28,10,0.0246993098407983,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
29,10,0.0157075710594654,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
0,20,0.0268513690680265,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
