selector,sample_id,count,share
drift_penalized,iid,531,0.531
drift_penalized,p0.55,406,0.406
drift_penalized,p0.65,61,0.061
drift_penalized,p0.75,2,0.002
oracle_test_mse,iid,577,0.577
oracle_test_mse,p0.55,362,0.362
oracle_test_mse,p0.65,56,0.056
oracle_test_mse,p0.75,3,0.003
oracle_test_mse,p0.85,1,0.001
oracle_test_mse,p0.90,1,0.001
random,iid,139,0.139
random,p0.55,176,0.176
random,p0.65,183,0.183
random,p0.75,154,0.154
random,p0.85,185,0.185
random,p0.90,163,0.163
stylized_only,iid,214,0.214
stylized_only,p0.55,213,0.213
stylized_only,p0.65,180,0.18
stylized_only,p0.75,157,0.157
stylized_only,p0.85,125,0.125
stylized_only,p0.90,111,0.111
