source_type,sample_id,rep,n_obs,delta,pooled_delta,rolling_delta_mean,rolling_delta_std
null,block_shuffle_000,0,410,0.16349381933327953,0.16349381933327953,0.17700722719655398,0.027466699362007956
null,block_shuffle_001,1,410,0.16124535064612985,0.16124535064612985,0.1570607025549235,0.03301588158968583
null,block_shuffle_002,2,410,0.1574151585627884,0.1574151585627884,0.1345492325067489,0.05550609486698184
null,block_shuffle_003,3,410,0.1662577829494825,0.1662577829494825,0.2648037787561183,0.03169280882163203
null,block_shuffle_004,4,410,0.15530778327135022,0.15530778327135022,0.23455045713921602,0.04790406832416496
null,block_shuffle_005,5,410,0.161078915914808,0.161078915914808,0.1302687942408781,0.03833632365627934
null,block_shuffle_006,6,410,0.15923556493310073,0.15923556493310073,0.23626768300206397,0.023991431867667008
null,block_shuffle_007,7,410,0.16617807233168827,0.16617807233168827,0.14402816623607667,0.0566641427911932
null,block_shuffle_008,8,410,0.14943822498317388,0.14943822498317388,0.17128437661328552,0.02252974152250098
null,block_shuffle_009,9,410,0.16487926862397315,0.16487926862397315,0.28580249472650665,0.08358799361508071
