,0
0,0
1,16
2,26
3,44
4,64
5,85
6,102
7,122
8,137
9,154
10,175
11,185
12,200
13,213
14,228
15,247
16,259
17,279
18,290
19,301
20,312
21,329
22,348
23,361
24,377
25,390
26,406
27,427
28,446
29,458
30,477
31,495
32,511
33,531
34,546
35,566
36,578
37,592
38,608
39,629
40,639
41,660
42,672
43,686
44,697
45,716
46,726
47,740
48,759
49,776
50,786
51,796
52,812
53,831
54,844
55,858
56,868
57,878
58,890
59,903
60,913
61,925
62,946
63,957
64,974
65,995
66,1006
67,1020
68,1033
69,1052
70,1065
71,1079
72,1090
73,1110
74,1124
75,1141
76,1162
77,1172
78,1186
79,1207
80,1228
81,1247
82,1257
83,1267
84,1277
85,1291
86,1306
87,1316
88,1330
89,1346
90,1356
91,1366
92,1386
93,1407
94,1423
95,1441
96,1459
97,1474
98,1489
99,1499
100,1509
101,1520
102,1531
103,1541
104,1559
105,1574
106,1586
107,1596
108,1606
109,1627
110,1640
111,1653
112,1670
113,1680
114,1690
115,1701
116,1716
117,1727
118,1739
119,1760
120,1774
121,1784
122,1804
123,1823
124,1835
125,1848
126,1858
127,1876
128,1891
129,1902
130,1918
131,1936
132,1952
133,1964
134,1978
135,1993
136,2004
137,2020
138,2040
139,2056
140,2072
141,2082
142,2099
143,2111
144,2121
145,2135
146,2147
147,2157
148,2171
149,2188
150,2207
151,2219
152,2230
153,2251
154,2265
155,2279
156,2297
157,2316
158,2331
159,2352
160,2367
161,2386
162,2405
163,2416
164,2426
165,2436
166,2446
167,2466
168,2476
169,2487
170,2507
171,2518
172,2531
173,2547
174,2560
175,2580
176,2595
177,2607
178,2617
179,2627
180,2645
181,2656
182,2674
183,2685
184,2696
185,2717
186,2735
187,2748
188,2758
189,2779
190,2790
191,2810
192,2828
193,2842
194,2853
195,2872
196,2890
197,2909
198,2923
199,2937
200,2947
201,2957
202,2971
203,2982
204,2992
205,3009
206,3021
207,3036
208,3055
209,3072
210,3090
211,3104
212,3123
213,3143
214,3161
215,3174
216,3189
217,3209
218,3219
219,3237
220,3249
221,3264
222,3285
223,3299
224,3310
225,3320
226,3332
227,3347
228,3362
229,3374
230,3388
231,3399
232,3415
233,3436
234,3446
235,3463
236,3478
237,3489
238,3505
239,3518
240,3536
241,3546
242,3566
243,3578
244,3599
245,3615
246,3625
247,3642
248,3658
249,3668
250,3678
251,3699
252,3713
253,3729
254,3745
255,3763
256,3775
