,0
0,7
1,5
2,12
3,0
4,11
5,1
6,0
7,4
8,10
9,9
10,13
11,0
12,10
13,7
14,1
15,2
16,10
17,11
18,13
19,11
20,12
21,1
22,5
23,12
24,0
25,1
26,13
27,9
28,5
29,0
30,1
31,1
32,2
33,12
34,2
35,7
36,12
37,6
38,6
39,13
40,0
41,10
42,1
43,9
44,9
45,0
46,0
47,1
48,9
49,1
50,10
51,13
52,9
53,13
54,11
55,3
56,2
57,10
58,13
59,12
60,9
61,12
62,12
63,8
64,13
65,2
66,11
67,11
68,5
69,7
70,1
71,2
72,2
73,13
74,12
75,1
76,0
77,11
78,2
79,2
80,4
81,0
82,1
83,13
84,9
85,1
86,2
87,9
88,0
89,7
90,12
91,5
92,5
93,10
94,10
95,9
96,0
97,3
98,2
99,13
100,1
101,1
102,10
103,13
104,11
105,9
106,7
107,7
108,2
109,3
110,13
111,1
112,12
113,1
114,4
115,12
116,1
117,7
118,1
119,0
120,2
121,7
122,6
123,13
124,7
125,11
126,2
127,1
128,1
129,12
130,9
131,11
132,2
133,2
134,11
135,1
136,1
137,13
138,13
139,0
140,5
141,11
142,5
143,1
144,13
145,12
146,4
147,7
148,3
149,7
150,0
151,11
152,0
153,2
154,12
155,13
156,13
157,4
158,10
159,2
160,10
161,12
162,5
163,5
164,12
165,11
166,13
167,7
168,1
169,9
170,6
171,2
172,10
173,13
174,5
175,1
176,8
177,12
178,3
179,10
180,9
181,10
182,11
183,11
184,11
185,7
186,12
187,2
188,10
189,11
190,4
191,9
192,11
193,7
194,0
195,0
196,13
197,12
198,5
199,1
200,13
201,4
202,7
203,0
204,9
205,1
206,1
207,11
208,1
209,1
210,1
211,13
212,0
213,13
214,6
215,7
216,0
217,11
218,11
219,2
220,2
221,9
222,4
223,9
224,0
225,10
226,11
227,2
228,10
229,5
230,12
231,12
232,11
233,13
234,5
235,4
236,7
237,11
238,0
239,4
240,1
241,2
242,9
243,7
244,1
245,1
246,3
247,13
248,4
249,12
250,0
251,11
252,11
253,8
