,0
0,"[5.00771379 4.80489445 4.78043747 4.65790701 4.78883648 4.81872892
 4.78117943 4.82663345 4.82539845 4.94002533 5.03711033 4.8740654
 4.79056597 4.65123701 4.46447659 4.37554216]"
1,"[4.67495203 4.64629555 4.7021265  4.8325634  4.74066448 5.08799982
 5.20904922 5.04847431 4.84269094 4.90716839 4.73275948]"
2,"[4.64382505 4.62949753 4.767591   4.82292795 4.90148544 4.88888788
 4.89012289 4.72757053 4.79130745 4.66630507 4.5916996  4.64407301
 4.59639311 4.57465363 4.61986256 4.59244156 4.66432858 4.57514858
 4.4800396  4.44619465 4.39234066]"
3,"[4.32292318 4.41235113 4.33799267 4.42914915 4.44767666 4.46842861
 4.41210413 4.42149067 4.42816114 4.48176718 4.43606567 4.45780563
 4.45928669 4.44767666 4.57737207 4.65840054 4.67445803]"
4,"[4.78661346 4.74436998 4.77352095 4.79155493 4.76610994 4.72954702
 4.57020807 4.61887407 4.72831249 4.89382839 5.04501534]"
5,"[5.33133316 5.52204657 5.40396214 5.42940712 5.42125511 5.43484211
 5.49141455 5.58775949 5.6448245  5.60727453 5.63296652 5.58355951
 5.62753201 5.7137475  5.65026093 5.66310501 5.70781994 5.75920343
 5.90816736 5.90866137]"
6,"[5.96869135 6.31059313 6.32418013 6.44300556 6.4032321  6.57121754
 6.84962988 7.11470175 7.11223125 6.92349434 7.18733072 7.24118567]"
7,"[6.90620232 7.07295227 6.97883081 6.98500729 6.87631083 6.78861141
 6.85382986 6.92448282 7.08258724 7.11074924 7.14681673 7.15694571
 7.34321308 7.51243353]"
8,"[7.46055603 7.23130369 7.26663065 7.1949892  7.30516863 7.20165968
 7.3009696  7.31801462 7.24686766 7.20808315 7.38298607 7.4331336
 7.44054604 7.39978456 7.65571594]"
9,"[7.70759439 7.75552034 7.47043657 7.30862665 7.31455517 7.33530855
 7.25057364 7.10877371 7.20388269 7.39113808]"
10,"[7.34444761 7.35507059 7.2221632  7.1949892  7.20289421 7.05738926
 7.01712179 7.15719271 7.01588678 7.05664778 7.0430603  6.91682386
 6.91707182 6.76909494]"
11,"[6.90669537 6.98055983 6.98105383 7.00551128 7.12581825 7.09666872
 7.06529474 7.07147121 7.12581825 7.09271574 7.28441763 7.2972641
 7.38866711]"
12,"[7.65176296 7.69968891 7.48525906 7.47587252 7.4160881  7.50477552
 7.60655499 7.70512342 7.69203043 7.79059839]"
13,"[7.7639184  7.75552034 7.55937099 7.64879942 7.81777239 7.87261534
 7.68288994 7.67572498 7.7261219  7.7320509  7.67424393 7.56184196
 7.43511152 7.34790611 7.31579113]"
14,"[7.53466702 7.49217701 7.62607098 7.49020004 8.39683056 8.61298847
 8.57000351 8.78072739 8.72193336 8.84817028 9.19328213 9.37213802
 9.37954998 9.53444195]"
15,"[ 9.6451149   9.75875282  9.63202286  9.36645603  9.66166496  9.64437389
  9.80667782  9.70366287  9.83582878  9.96675873  9.88671875 10.11275959
 10.28840351 10.4462595  10.58855343]"
16,"[10.46157837  9.96898174 10.00282669 10.22960663 10.31878757 10.02604866
  9.99368668  9.98578167 10.14462566 10.10880566 10.19304466 10.31360054
 10.34991455 10.43860054 10.6263504  10.48924541 10.61622143 10.53198147
 10.67304134]"
17,"[10.64561939 10.49023438 10.54087639 10.37931347 10.24862957 10.75184822
 10.9991312  11.14735413 11.50358486 11.53421688 11.60486889]"
18,"[11.65106678 11.45343494 11.51815796 11.53940487 10.99097919 10.78198528
  9.86819077 10.56088543 10.94453621 10.69675827 10.72813034 10.70886135
 10.54408932 10.6883564   9.92550373  9.78370476  9.42574501  9.51344395
  9.08903217]"
19,"[9.11768818 8.86299229 8.95785427 8.54011345 8.48131657 8.4580965
 9.05296421 9.10953617 9.05617523 9.02900124 9.33977699 9.32322407
 9.64387989]"
20,"[8.95810127 9.01195621 9.29975605 9.34249401 9.0934782  9.00330925
 8.74218941 8.47341442 8.33754063 8.32667065]"
21,"[ 8.67499447  8.51046848  8.3689146   8.39411163  8.6016264   8.39732361
  8.40473461  8.44599152  9.03666115  9.13275719  9.31828499  9.75751686
  9.59595394  9.63449192  9.62707996  9.98874474 10.07891464 10.15771961
 10.03370667 10.2861805  10.12017059]"
22,"[10.10262966  9.93489075 10.05001068  9.98627377 10.14092064 10.25208664
 10.7980423  10.88203716 10.55248737 10.52308941 10.3763485  10.32471752]"
23,"[ 9.85435677  9.75306988  9.73750782  9.75183582  9.74071789  9.75257778
 10.09892368  9.95514774  9.56038094  9.24244499  9.2935791   9.17253113]"
24,"[9.2515831  9.16487408 9.14091015 9.16388607 9.27826214 9.41833401
 9.46131992 9.42080498 9.18834114 9.18537617 9.45217991 9.37362099
 9.25010109 9.63424492 9.54827595 9.71601391]"
25,"[ 9.54975986  9.42549896  9.54852295  9.49590302  9.6591959   9.6517849
  9.58854294  9.56458092  9.93414974  9.88029575 10.00159168  9.98578167
  9.93884373 10.0324707  10.32150555 10.35905647 10.45465946 10.41167545
 10.45441151 10.38672447]"
26,"[10.33114052 10.48825645 10.3076725  10.09966373  9.96799564 10.07644367
  9.95687866  9.85682774  9.56334496  9.63720989  9.65672493  9.61868286
  9.52332401  9.44674301]"
27,"[9.58804989 9.55050087 9.27653313 9.07198524 9.27357006 9.23552608
 9.33681011 9.41215801 9.31186008 9.2441721 ]"
28,"[9.10335922 9.12633324 9.41141796 9.57816982 9.53073597 9.47045898
 9.32075405 9.34521008 9.22514915 9.23256207]"
29,"[ 9.22095013  9.4109211   9.361516    9.40598297  9.35113811  9.35286808
  9.49516392  9.39091206  9.35015202  9.33434105  9.48849297  9.68142986
 10.04383659  9.97985172 10.12560463 10.24443054]"
30,"[ 9.97565269  9.80741882 10.05075073  9.97491074  9.97985172 10.05124569
  9.95366669  9.9699707   9.9284687   9.91710472  9.98133469 10.26938152
 10.17328358 10.38795853 10.5979414  10.53988838]"
31,"[10.5361824  10.55940342 10.5559454  10.41884041 10.3914175  10.35856247
 10.52531242 11.35560989 11.87710381 11.69256783 12.02088261 11.98382664
 11.73925877]"
32,"[11.77310085 11.76865578 11.54903889 11.60857677 11.65526676 11.78249073
 11.6742878  11.73431969 11.67576885 11.69849682 11.88328171 12.0875845
 12.15255451]"
33,"[12.25062752 12.32202148 12.22962856 12.59030437 12.54979134 12.47543144
 11.97518158 12.09252453 11.9727087  11.97666264 11.87760067 11.97765064
 12.03076363 12.07300663 11.9230547  11.95937061 11.95492363 11.90181065
 11.83288479]"
34,"[11.91020966 11.86524868 11.43293285 11.57695484 11.43540192 11.26988602
 11.25457001 11.30274391 11.56213188 11.42700291 11.37561893 11.5512619
 11.93837166 12.03545761 11.94627666 11.99370861 12.09153652 12.34499836
 12.47543144]"
35,"[12.45764446 12.28471851 12.05126858 12.09869862 11.87858868 11.83436871
 12.32893944 12.05769157 12.24914455 12.16589451 12.21159554 12.38896942
 11.90107059 11.89489269 11.54064083 11.64735889 11.61104679 11.63624382
 11.41045284 11.32151794 11.34152699]"
36,"[11.51025486 11.40007496 11.60931683 11.66267681 11.75556183 11.75531483
 11.62611675 11.48555183 11.08633804 11.10313511 11.07299709 10.83707523]"
37,"[10.89315224 11.30323601 11.25605202 11.233325   11.18984509 11.23406506
 10.94453621 11.06731606 11.02260017 10.89068317 11.04829311 11.00012016
 11.27853107 11.41415596 11.40896702 11.48727798]"
38,"[11.45318699 11.41020393 11.38648796 11.31830502 11.32744503 11.67502785
 11.63599586 11.64810085 11.56657887 11.52433491 11.47566795 11.54632282
 11.51914692 11.7162838  11.67996883 11.75926971 11.65156078 11.91910172]"
39,"[11.83510971 11.79681969 11.80818176 11.88698864 11.8333807  11.64488888
 11.58609486 11.50654793 11.69059086 11.63846874 11.54335594 11.53199387
 11.59227085 11.40007496 11.53026485 11.40773392 11.31435299]"
40,"[11.6752758  11.63451385 11.61870384 11.62562084 11.75556183 11.7088728
 11.71776581 11.9447937  12.03348064 12.31732941 12.30028248 12.36179638
 12.52656937]"
41,"[12.81733513 12.80275917 12.72395515 12.73457527 12.63205624 12.46975231
 12.48136234 12.42207432 12.49741936 12.72741222 12.70542431 12.59821224
 12.70048523 12.96901512]"
