,0
0,1
1,8
2,6
3,6
4,10
5,0
6,2
7,2
8,5
9,2
10,2
11,13
12,2
13,9
14,6
15,4
16,12
17,0
18,12
19,7
20,9
21,2
22,6
23,12
24,3
25,12
26,13
27,11
28,12
29,8
30,11
31,6
32,1
33,0
34,0
35,11
36,6
37,1
38,6
39,6
40,4
41,2
42,13
43,12
44,6
45,12
46,1
47,6
48,1
49,1
50,2
51,3
52,6
53,13
54,8
55,7
56,4
57,2
58,6
59,1
60,2
61,6
62,0
63,6
64,12
65,0
66,0
67,9
68,0
69,6
70,0
71,0
72,11
73,8
74,6
75,6
76,12
77,3
78,11
79,8
80,6
81,0
82,0
83,6
84,1
85,11
86,12
87,4
88,0
89,6
90,12
91,4
92,0
93,1
94,3
95,6
96,10
97,9
98,9
99,3
100,9
101,2
102,6
103,5
104,11
105,8
106,1
107,2
108,13
109,12
110,1
111,4
112,12
113,4
114,11
115,8
116,0
117,6
118,2
119,4
120,11
121,3
122,1
123,9
124,6
125,1
126,8
127,2
128,4
129,11
130,3
131,6
132,8
133,0
134,2
135,6
136,3
137,11
138,13
139,11
140,8
141,13
142,3
143,2
144,2
145,6
146,13
147,13
148,0
149,10
150,12
151,4
152,6
153,8
154,4
155,4
156,11
157,1
158,0
159,2
160,1
161,6
162,1
163,9
164,8
165,1
166,8
167,12
168,3
169,1
170,9
171,9
172,6
173,0
174,2
175,0
176,11
177,9
178,9
179,4
180,0
181,0
182,8
183,6
184,8
185,11
186,6
187,4
188,6
189,9
190,9
191,9
192,2
193,12
194,2
195,1
196,0
197,5
198,0
199,6
200,9
201,11
202,6
203,9
204,3
205,11
206,12
207,12
208,2
209,2
210,6
211,1
212,12
213,0
214,12
215,4
216,9
217,2
218,5
219,6
220,1
221,0
222,2
223,6
224,8
225,11
226,1
227,2
228,4
229,4
230,11
231,8
232,9
233,11
234,11
235,11
236,1
237,10
238,6
239,5
240,0
241,1
242,11
243,7
244,4
245,12
246,13
247,1
248,0
249,9
250,2
251,6
252,9
253,11
254,12
255,12
256,2
257,12
258,4
259,1
260,8
261,11
262,6
263,4
264,13
265,6
266,1
267,1
268,9
269,8
270,2
271,10
272,2
273,3
274,2
275,0
276,0
277,7
278,1
279,12
280,13
281,1
282,2
283,6
284,12
285,1
286,4
287,5
288,7
289,9
290,0
291,6
292,12
293,2
294,12
295,1
296,9
297,0
298,1
299,11
300,10
301,2
302,11
303,12
304,5
305,2
306,1
307,2
308,2
309,0
310,12
311,12
312,0
313,0
314,7
315,7
316,0
317,1
318,6
319,3
320,2
321,1
322,0
323,8
324,9
325,7
326,10
327,6
328,9
329,1
330,6
331,6
332,8
333,6
334,1
335,1
336,2
337,5
338,4
339,9
340,6
341,2
342,0
343,0
344,5
345,11
346,8
347,2
348,6
349,1
350,6
351,2
352,9
353,8
354,9
355,2
356,12
357,12
358,0
359,1
360,6
361,10
362,9
363,9
364,0
365,9
366,6
367,10
368,2
369,11
370,12
371,0
372,6
373,12
374,10
375,6
376,11
377,5
378,9
379,0
380,6
381,10
382,5
383,6
384,11
385,1
386,10
387,2
388,3
389,9
390,6
391,11
392,2
393,6
394,12
395,12
396,5
397,11
398,6
399,12
400,10
401,12
402,12
403,9
404,0
405,0
406,6
407,6
408,10
409,11
410,6
411,12
412,4
413,0
414,9
415,2
416,0
417,9
418,6
419,1
420,4
421,3
422,8
423,12
424,2
425,1
426,10
427,11
428,10
429,6
430,4
431,6
432,1
433,11
434,11
435,12
436,1
437,12
438,13
439,2
440,10
441,4
442,1
443,6
444,9
445,0
446,6
447,12
448,8
449,2
450,1
451,9
452,10
453,6
454,4
455,12
456,11
457,8
458,8
459,5
460,0
461,7
462,9
463,9
464,5
465,0
466,6
467,12
468,4
469,11
470,0
471,2
472,2
473,2
474,2
475,8
476,0
477,5
478,3
479,9
480,6
481,0
482,0
483,8
484,8
485,12
486,13
487,8
488,11
489,12
490,10
491,4
492,2
493,11
494,6
495,0
496,11
497,11
498,13
499,12
500,8
501,0
502,4
503,12
504,12
505,6
506,3
507,11
508,6
509,3
510,11
511,10
512,5
513,6
514,12
515,11
516,1
517,2
518,8
519,3
520,12
521,3
522,1
523,0
524,0
525,0
526,9
527,5
528,2
529,11
530,9
531,1
532,8
533,3
534,11
535,6
536,3
537,11
538,10
539,12
540,2
541,8
542,4
543,9
544,1
545,2
546,1
547,6
548,1
549,0
550,6
551,11
552,2
553,11
554,12
555,6
556,10
557,6
558,1
559,3
560,12
561,4
562,0
563,8
564,2
565,0
566,12
567,8
568,6
569,7
570,13
571,13
572,2
573,4
574,4
575,0
576,12
577,12
578,1
579,0
580,13
581,1
582,0
583,0
584,3
585,4
586,2
587,12
588,11
589,1
590,4
591,11
592,2
593,6
594,8
595,0
596,0
597,2
598,11
599,9
600,4
601,5
602,7
603,3
604,2
605,2
606,11
607,1
608,12
609,6
610,1
611,1
612,11
613,13
614,9
615,2
616,6
617,3
618,0
619,9
620,11
621,9
622,9
623,7
624,6
625,3
626,9
627,4
628,12
629,4
630,6
631,11
632,0
633,9
634,2
635,0
636,1
637,6
638,2
639,11
640,1
641,2
642,7
643,10
644,11
645,12
646,2
647,1
648,12
649,8
650,2
651,13
652,11
653,12
654,4
655,7
656,1
657,5
658,10
659,7
660,2
661,8
662,2
663,2
664,2
665,1
666,8
667,11
668,1
669,0
670,11
671,8
672,9
673,0
674,11
675,1
676,9
677,2
678,0
679,11
680,12
681,12
682,12
683,0
684,2
685,12
686,3
687,8
688,6
689,12
690,2
691,0
692,12
693,10
694,0
695,6
696,2
697,8
698,3
