,0
0,0
1,14
2,31
3,46
4,60
5,71
6,84
7,103
8,113
9,130
10,140
11,159
12,169
13,184
14,201
15,211
16,221
17,236
18,250
19,270
20,280
21,293
22,311
23,325
24,338
25,348
26,358
27,370
28,381
29,393
30,404
31,424
32,439
33,449
34,467
35,484
36,496
37,513
38,526
39,542
40,552
41,563
42,579
43,589
44,606
45,624
46,634
47,645
48,656
49,677
50,688
51,702
52,719
53,733
54,748
55,765
56,780
57,791
58,803
59,813
60,833
61,847
62,857
63,878
64,896
65,909
66,919
67,932
68,945
69,955
70,969
71,979
72,990
73,1005
74,1016
75,1037
76,1049
77,1060
78,1073
79,1083
80,1097
81,1110
82,1123
83,1133
84,1154
85,1175
86,1187
87,1204
88,1217
89,1228
90,1238
91,1248
92,1258
93,1276
94,1293
95,1307
96,1317
97,1328
98,1343
99,1360
100,1374
101,1391
102,1402
103,1417
104,1433
105,1445
106,1465
107,1483
108,1504
109,1514
110,1532
111,1550
112,1569
113,1583
114,1593
115,1611
116,1621
117,1642
118,1652
119,1673
120,1684
121,1694
122,1712
123,1732
124,1751
125,1770
126,1783
127,1795
128,1815
129,1828
130,1842
131,1857
132,1867
133,1887
134,1907
135,1923
136,1943
137,1962
138,1977
139,1988
140,2004
141,2018
142,2030
143,2043
144,2058
145,2076
146,2086
147,2098
148,2111
149,2131
150,2144
151,2164
152,2174
153,2185
154,2203
155,2220
156,2230
157,2246
158,2259
159,2275
160,2285
161,2302
162,2314
163,2328
164,2339
165,2350
166,2371
167,2382
168,2392
169,2412
170,2428
171,2446
172,2467
173,2485
174,2505
175,2517
176,2529
177,2543
178,2555
179,2573
180,2583
181,2602
182,2620
183,2635
184,2651
185,2662
186,2677
187,2691
188,2701
189,2711
190,2723
191,2733
192,2743
193,2763
194,2784
195,2803
196,2814
197,2825
198,2844
199,2854
200,2864
201,2885
202,2895
203,2906
204,2916
205,2928
206,2942
207,2956
208,2975
209,2985
210,3001
211,3013
212,3034
213,3054
214,3064
215,3080
216,3090
217,3109
218,3125
219,3139
220,3151
221,3161
222,3171
223,3182
224,3197
225,3212
226,3231
227,3243
228,3264
229,3274
230,3284
231,3294
232,3312
233,3333
234,3344
235,3356
236,3367
237,3379
238,3393
239,3408
240,3422
241,3433
242,3452
243,3462
244,3478
245,3489
246,3502
247,3514
248,3524
249,3538
250,3551
251,3564
252,3579
253,3595
254,3605
255,3617
256,3629
257,3643
258,3662
259,3678
260,3689
261,3708
262,3718
263,3733
