,0
0,0
1,10
2,20
3,32
4,46
5,67
6,79
7,91
8,101
9,120
10,137
11,147
12,161
13,172
14,188
15,208
16,218
17,234
18,247
19,260
20,272
21,285
22,304
23,315
24,328
25,338
26,356
27,374
28,388
29,399
30,409
31,430
32,447
33,457
34,470
35,480
36,491
37,512
38,524
39,545
40,565
41,579
42,592
43,608
44,618
45,637
46,655
47,676
48,695
49,709
50,726
51,746
52,756
53,774
54,792
55,802
56,816
57,830
58,851
59,865
60,877
61,887
62,899
63,914
64,926
65,937
66,951
67,961
68,972
69,988
70,1001
71,1020
72,1040
73,1057
74,1068
75,1082
76,1092
77,1107
78,1125
79,1137
80,1155
81,1167
82,1177
83,1195
84,1208
85,1219
86,1240
87,1255
88,1266
89,1276
90,1288
91,1309
92,1321
93,1337
94,1357
95,1374
96,1385
97,1401
98,1411
99,1432
100,1443
101,1459
102,1475
103,1495
104,1506
105,1520
106,1532
107,1544
108,1558
109,1579
110,1591
111,1609
112,1621
113,1634
114,1645
115,1656
116,1676
117,1688
118,1698
119,1709
120,1730
121,1747
122,1757
123,1775
124,1787
125,1801
126,1811
127,1821
128,1831
129,1842
130,1859
131,1880
132,1897
133,1908
134,1922
135,1940
136,1952
137,1972
138,1989
139,2002
140,2021
141,2039
142,2055
143,2072
144,2093
145,2103
146,2123
147,2138
148,2148
149,2158
150,2171
151,2192
152,2203
153,2214
154,2231
155,2249
156,2265
157,2281
158,2291
159,2302
160,2318
161,2333
162,2352
163,2367
164,2385
165,2406
166,2427
167,2447
168,2464
169,2476
170,2497
171,2514
172,2533
173,2554
174,2573
175,2590
176,2600
177,2614
178,2624
179,2636
180,2647
181,2666
182,2686
183,2702
184,2719
185,2731
186,2752
187,2766
188,2779
189,2798
190,2816
191,2829
192,2844
193,2860
194,2881
195,2894
196,2904
197,2916
198,2928
199,2942
200,2952
201,2973
202,2983
203,2994
204,3006
205,3016
206,3027
207,3040
208,3050
209,3070
210,3091
211,3108
212,3122
213,3135
214,3156
215,3169
216,3189
217,3203
218,3221
219,3236
220,3246
221,3257
222,3267
223,3282
224,3298
225,3319
226,3332
227,3342
228,3353
229,3364
230,3375
231,3387
232,3403
233,3414
234,3427
235,3445
236,3466
237,3477
238,3498
239,3519
240,3530
241,3540
242,3560
243,3570
244,3588
245,3603
246,3617
247,3631
248,3642
249,3653
250,3673
251,3686
252,3700
253,3710
254,3726
255,3743
256,3761
257,3776
258,3790
259,3800
260,3812
261,3833
262,3843
263,3863
264,3875
265,3890
266,3907
267,3921
268,3940
269,3950
270,3962
271,3972
272,3985
273,3999
274,4014
275,4025
276,4042
277,4053
278,4063
279,4074
280,4087
281,4105
282,4122
283,4134
284,4144
285,4165
286,4178
287,4194
288,4207
289,4218
290,4233
291,4243
292,4260
293,4281
294,4302
295,4314
296,4331
297,4347
298,4361
299,4371
300,4388
301,4408
302,4428
303,4449
304,4460
305,4473
306,4486
307,4504
308,4514
309,4524
310,4539
311,4558
312,4570
313,4589
314,4605
315,4626
316,4643
317,4657
318,4676
319,4688
320,4703
321,4713
322,4733
323,4745
324,4756
