,0
0,[222.5  218.5  216.25 218.75 218.5  214.5  216.5  214.25 214.5  214.  ]
1,[208.75 208.75 208.5  208.5  211.5  213.   211.5  214.   211.25 210.25]
2,"[209.75 210.25 213.5  213.   212.5  212.   210.   209.75 209.5  211.25
 214.5  217.  ]"
3,"[215.5  215.75 213.25 213.5  213.5  215.5  211.5  216.   211.5  208.75
 209.75 211.75 208.5  206.  ]"
4,"[208.5  210.25 210.5  209.5  206.5  209.25 210.25 212.75 213.75 212.25
 211.   209.25 210.5  213.5  212.75 209.75 209.   204.25 201.5  198.
 194.5 ]"
5,"[197.   198.25 195.   199.25 199.5  200.75 200.5  204.   200.75 197.
 197.75 191.5 ]"
6,"[191.5  201.5  201.25 201.   201.5  198.5  194.   192.5  193.   193.25
 190.75 189.25]"
7,[190.25 193.5  196.5  197.   194.5  199.75 197.5  199.   198.   195.5 ]
8,"[193.75 191.5  191.5  193.5  197.75 197.   194.25 192.5  194.5  197.25
 197.25 196.5  198.5  201.5  206.   205.5  213.   220.   225.5 ]"
9,"[230.75 219.25 225.   216.   216.75 214.5  207.5  213.25 217.5  221.
 219.   218.5  213.   219.   217.5  214.5  211.  ]"
10,[216.5  216.   218.   222.   222.   221.75 222.5  220.   216.5  212.25]
11,"[215.5  215.5  215.   217.5  214.25 219.75 216.   217.5  217.25 217.
 219.   216.   214.25 213.  ]"
12,"[214.5  214.25 219.5  217.25 214.25 211.25 214.   210.5  210.75 212.5
 211.75]"
13,"[211.75 205.75 204.5  206.   206.75 209.5  211.   208.5  209.5  208.25
 200.75 201.75 202.75 200.5  200.5  199.  ]"
14,"[199.25 202.   200.5  198.5  201.   200.75 198.25 198.5  198.5  198.75
 200.   204.5  205.   204.   204.   207.   206.   208.75 209.   209.5 ]"
15,[209.   208.   203.5  203.75 199.25 202.   208.25 210.5  211.   209.75]
16,"[205.5  208.25 209.   206.75 207.25 208.   206.5  206.75 204.75 203.5
 203.5  199.75 202.   200.75 199.75 199.5 ]"
17,"[202.   202.5  203.5  204.   202.5  201.5  205.5  205.5  211.5  213.
 215.25 213.5  211.25]"
18,"[209.75 209.   210.25 207.5  207.5  205.5  206.5  205.5  206.   206.
 206.5  204.25 205.  ]"
19,"[205.25 205.25 206.   209.25 206.75 205.5  206.75 207.5  207.5  204.75
 202.5  200.  ]"
20,"[200.   199.5  200.5  199.25 202.5  201.5  200.75 202.   204.   204.75
 203.   207.   205.25]"
21,"[205.5  206.75 206.   206.25 204.75 205.   204.5  207.   202.5  204.25
 204.   201.25 201.5  200.75 202.   201.25 198.75 197.75 196.  ]"
22,"[197.75 199.75 198.25 197.25 198.75 198.75 197.75 197.   196.25 192.5
 193.5 ]"
23,"[196.5  194.5  194.75 194.   199.   198.5  200.25 201.25 209.75 209.
 216.25 213.25 209.  ]"
24,[211.5  210.75 207.5  207.75 207.   207.5  211.5  212.5  214.   209.5 ]
25,"[210.5  210.25 209.   206.75 206.75 204.25 206.75 211.75 209.25 208.
 206.75 208.75 210.   210.25 218.   219.75 221.5  226.  ]"
