,0
0,10
1,5
2,0
3,10
4,6
5,5
6,5
7,5
8,1
9,13
10,9
11,13
12,12
13,4
14,1
15,11
16,6
17,2
18,6
19,4
20,2
21,6
22,2
23,5
24,4
25,0
26,9
27,9
28,7
29,5
30,6
31,7
32,9
33,6
34,2
35,9
36,9
37,6
38,0
39,6
40,4
41,2
42,10
43,4
44,7
45,0
46,1
47,7
48,6
49,8
50,9
51,5
52,2
53,5
54,2
55,0
56,9
57,6
58,4
59,5
60,7
61,7
62,5
63,5
64,4
65,5
66,12
67,0
68,6
69,0
70,12
71,12
72,2
73,1
74,10
75,4
76,0
77,9
78,9
79,10
80,6
81,11
82,5
83,7
84,6
85,0
86,4
87,1
88,9
89,2
90,5
91,2
92,10
93,9
94,6
95,4
96,0
97,1
98,2
99,9
100,9
101,0
102,9
103,4
104,6
105,9
106,13
107,1
108,7
109,5
110,2
111,9
112,9
113,4
114,1
115,13
116,0
117,1
118,0
119,9
120,1
121,9
122,12
123,2
124,0
125,5
126,7
127,6
128,2
129,6
130,4
131,13
132,5
133,10
134,8
135,4
136,5
137,6
138,2
139,12
140,8
141,1
142,6
143,7
144,5
145,5
146,2
147,2
148,13
149,8
150,12
151,8
152,6
153,9
154,6
155,4
156,0
157,2
158,12
159,5
160,8
161,13
162,2
163,1
164,9
165,9
166,7
167,2
168,1
169,1
170,2
171,4
172,2
173,12
174,4
175,8
176,4
177,9
178,10
179,9
180,10
181,4
182,8
183,6
184,9
185,6
186,8
187,9
188,4
189,4
190,0
191,7
192,2
193,2
194,3
195,5
196,10
197,11
198,4
199,5
200,6
201,2
202,4
203,1
204,4
205,0
206,4
207,9
208,1
209,6
210,1
211,6
212,6
213,13
214,6
215,5
216,2
217,4
218,9
219,1
220,1
221,5
222,4
223,6
224,4
225,7
226,4
227,9
228,6
229,9
230,2
231,9
232,9
233,4
234,4
235,4
236,12
237,5
238,4
239,12
240,5
241,2
242,4
243,11
244,4
245,8
246,4
247,4
248,9
249,1
250,10
251,1
252,10
253,2
254,9
255,12
256,1
257,2
258,6
259,5
260,4
261,2
262,9
263,0
264,10
265,5
266,8
267,9
268,9
269,12
270,4
271,0
272,11
273,9
274,2
275,7
276,0
277,13
278,12
279,9
280,5
281,12
282,11
283,0
284,10
285,2
286,1
287,0
288,11
289,6
290,2
291,8
292,7
293,13
294,9
295,4
296,8
297,9
298,0
299,10
300,4
301,8
302,0
303,13
304,12
305,10
306,0
307,10
308,2
309,1
310,7
311,5
312,6
313,4
314,2
315,12
316,6
317,12
318,8
