,0
0,0
1,1
2,2
3,3
4,0
5,0
6,3
7,0
8,2
9,3
10,0
11,1
12,2
13,3
14,0
15,3
16,2
17,3
18,1
19,2
20,2
21,3
22,0
23,2
24,3
25,0
26,3
27,0
28,1
29,3
30,0
31,3
32,0
33,1
34,2
35,3
36,3
37,0
38,1
39,3
40,0
41,1
42,2
43,2
44,1
45,3
46,0
47,1
48,2
49,3
50,0
51,1
52,0
53,1
54,2
55,0
56,1
57,0
58,1
59,2
60,3
61,0
62,0
63,1
64,2
65,0
66,1
67,1
68,1
69,2
70,1
71,1
72,2
73,1
74,2
75,3
76,0
77,1
78,3
79,0
80,1
81,2
82,3
83,0
84,1
85,2
86,2
87,3
88,3
89,0
90,1
91,2
92,3
93,1
94,1
95,2
96,3
97,0
98,1
99,0
100,1
101,1
102,1
103,2
104,3
105,0
106,1
107,2
108,0
109,0
110,3
111,0
112,1
113,3
114,0
115,1
116,2
117,3
118,0
119,1
120,2
121,3
122,0
123,2
124,0
125,1
126,2
127,3
128,0
129,1
130,2
131,3
132,0
133,0
134,1
135,2
136,3
137,3
138,1
139,2
140,3
141,2
142,1
143,2
144,3
145,0
146,1
147,2
148,3
149,0
150,2
151,3
152,0
153,2
154,1
155,2
156,0
157,3
158,0
159,1
160,0
161,1
162,2
163,3
164,0
165,0
166,1
167,2
168,3
169,0
170,1
171,1
172,2
173,3
174,0
175,2
176,3
177,0
178,1
179,1
180,2
181,3
182,0
183,2
184,3
185,1
186,2
187,3
188,0
189,1
190,2
191,3
192,3
193,0
194,1
195,2
196,0
197,3
198,3
199,0
200,3
201,2
202,2
203,3
204,0
205,1
206,0
207,1
208,2
209,1
210,2
211,3
212,0
213,1
214,2
215,2
216,0
217,2
218,3
219,3
220,0
221,0
222,3
223,3
224,0
225,1
226,0
227,1
228,2
229,3
230,0
231,1
232,3
233,0
234,1
235,2
236,0
237,1
238,3
239,0
240,1
241,2
242,3
243,0
244,1
245,2
246,3
247,0
248,1
249,2
250,3
251,3
252,0
253,1
254,2
255,0
256,2
257,3
258,0
259,1
260,2
261,3
262,3
263,0
264,1
265,2
266,3
267,0
268,1
269,2
270,3
271,0
272,1
273,2
274,3
275,0
276,1
277,2
278,3
279,1
280,2
281,3
282,0
283,3
284,0
285,1
286,2
287,3
288,0
289,0
290,2
291,0
292,1
293,2
294,2
295,0
296,1
297,2
298,3
299,0
300,1
301,2
302,3
303,0
304,1
305,2
306,3
307,0
308,3
309,2
310,3
311,0
312,1
313,0
314,1
315,0
316,3
317,3
318,0
319,1
320,1
321,2
322,3
323,0
324,1
325,3
326,0
327,1
328,2
329,3
330,0
331,1
332,1
333,2
334,0
335,3
336,0
337,1
338,2
339,3
340,3
341,2
342,3
343,0
344,1
345,1
346,2
347,0
348,1
349,2
350,3
351,3
352,0
353,1
354,3
355,0
356,1
357,2
358,3
359,0
360,1
361,2
362,3
363,1
364,2
365,3
366,0
367,1
368,2
369,3
370,3
371,0
372,3
373,0
374,1
375,2
376,3
377,3
378,3
379,0
380,1
381,2
382,2
383,3
384,0
385,1
386,2
387,3
388,1
389,2
390,3
391,0
392,1
393,2
394,3
395,3
396,0
397,1
398,2
399,3
400,0
401,1
402,1
403,2
404,3
405,0
406,1
407,2
408,1
409,1
410,2
411,3
412,0
413,1
414,2
415,0
416,1
417,2
418,0
419,1
420,2
421,3
422,2
423,3
424,0
425,1
426,2
427,1
428,2
429,3
430,0
431,1
432,2
433,3
434,2
435,0
436,1
437,2
438,0
439,1
440,1
441,0
442,2
443,3
444,0
445,1
446,3
447,0
448,1
449,2
450,0
451,3
452,0
453,0
454,3
455,0
456,1
457,2
458,2
459,3
460,1
461,2
462,3
463,2
464,3
465,0
466,1
467,2
468,3
469,3
470,0
471,1
472,3
473,0
474,1
475,2
476,3
477,0
478,1
479,2
480,3
481,0
482,1
483,0
484,1
485,1
486,2
487,2
488,3
489,3
490,0
491,2
492,3
493,2
494,3
495,0
496,1
497,3
498,0
499,1
500,2
501,3
502,0
503,1
504,2
505,3
506,3
507,0
508,1
509,1
510,2
511,3
512,3
513,0
514,0
515,3
516,2
517,3
518,0
519,1
520,2
521,3
522,0
523,1
524,2
525,3
526,1
527,2
528,3
529,0
530,1
531,2
532,3
533,2
534,3
535,0
536,1
537,2
538,2
539,3
540,2
541,3
542,0
543,1
544,2
545,3
546,0
547,1
548,2
549,3
550,3
551,3
552,0
553,1
554,2
555,3
556,0
557,1
558,3
559,0
560,1
561,2
562,3
563,0
564,1
565,2
566,0
567,1
568,2
569,3
570,0
571,0
572,1
573,2
574,1
575,2
576,3
577,2
578,3
579,0
580,0
581,0
582,1
583,2
584,3
585,1
586,2
587,1
588,2
589,3
590,0
591,1
592,2
593,3
594,0
595,1
596,2
597,0
598,1
599,2
600,2
601,1
602,2
603,3
604,0
605,2
606,3
607,0
608,1
609,2
610,3
611,0
612,1
613,2
614,3
615,0
616,1
617,1
618,3
619,0
620,1
621,1
622,2
623,0
624,1
625,2
626,3
627,0
628,1
629,2
630,2
631,0
632,1
633,1
634,2
635,3
636,0
637,1
638,2
639,3
640,0
641,2
642,3
643,3
644,3
645,0
646,3
647,3
648,2
649,3
650,0
651,0
652,3
653,0
654,1
655,2
656,3
657,0
658,1
659,2
660,1
661,2
662,3
663,0
664,1
665,2
666,3
667,2
