,0
0,0
1,12
2,24
3,37
4,51
5,66
6,83
7,103
8,122
9,140
10,157
11,173
12,188
13,202
14,216
15,231
16,247
17,267
18,285
19,303
20,322
21,340
22,358
23,377
24,396
25,415
26,431
27,447
28,459
29,472
30,483
31,495
32,512
33,530
34,549
35,561
36,581
37,598
38,613
39,629
40,644
41,660
42,675
43,689
44,702
45,715
46,727
47,739
48,752
49,762
50,777
51,797
52,817
53,834
54,854
55,874
56,894
57,905
58,917
59,930
60,944
61,957
62,971
63,982
64,993
65,1003
66,1021
67,1032
68,1048
69,1060
70,1075
71,1094
72,1113
73,1129
74,1145
75,1160
76,1178
77,1190
78,1207
79,1225
80,1244
81,1263
82,1281
83,1296
84,1310
85,1323
86,1340
87,1357
88,1375
89,1391
90,1409
91,1425
92,1442
93,1459
94,1478
95,1496
96,1506
97,1516
98,1528
99,1539
100,1549
101,1559
102,1572
103,1586
104,1604
105,1620
106,1633
107,1645
108,1656
109,1666
110,1677
111,1692
112,1712
113,1727
114,1738
115,1755
116,1770
117,1780
118,1792
119,1802
120,1813
121,1830
122,1848
123,1867
124,1885
125,1901
126,1917
127,1933
128,1946
129,1957
130,1969
131,1980
132,1991
133,2004
134,2018
135,2037
136,2056
137,2072
138,2089
139,2108
140,2123
141,2140
142,2156
143,2171
144,2187
145,2202
146,2218
147,2235
148,2251
149,2269
150,2285
151,2301
152,2321
153,2341
154,2352
155,2365
156,2384
157,2402
158,2419
159,2438
160,2456
161,2471
162,2483
163,2494
164,2505
165,2525
166,2542
167,2559
168,2574
169,2588
170,2598
171,2608
172,2619
173,2635
174,2655
175,2675
176,2694
177,2710
178,2726
179,2743
180,2755
181,2769
182,2781
183,2791
184,2804
185,2823
186,2841
187,2857
188,2873
189,2884
190,2896
191,2913
192,2923
193,2936
194,2948
195,2963
196,2980
197,2996
198,3014
199,3033
200,3047
201,3061
202,3081
203,3100
204,3119
205,3139
206,3159
207,3178
208,3198
209,3217
210,3227
211,3239
212,3256
213,3266
214,3276
215,3289
216,3302
217,3317
218,3337
219,3356
220,3374
221,3392
222,3403
223,3415
224,3428
225,3440
226,3450
227,3464
228,3484
229,3503
230,3521
231,3540
232,3556
233,3572
234,3585
235,3601
236,3617
237,3634
238,3651
239,3663
240,3680
241,3699
242,3719
243,3733
244,3749
245,3768
246,3786
247,3804
248,3823
249,3839
250,3851
251,3862
252,3874
253,3888
254,3908
255,3927
256,3945
257,3964
258,3983
259,3998
260,4011
261,4024
262,4041
263,4057
264,4070
265,4080
266,4090
267,4100
268,4113
269,4127
270,4145
271,4163
272,4180
273,4195
274,4211
275,4231
276,4250
277,4269
278,4289
279,4308
280,4328
281,4346
282,4363
283,4379
284,4392
285,4404
286,4414
287,4424
288,4437
289,4454
290,4472
291,4489
292,4506
293,4517
294,4528
295,4540
296,4551
297,4563
298,4583
299,4603
300,4615
301,4628
302,4639
303,4659
304,4679
305,4699
306,4719
307,4739
308,4758
309,4775
310,4791
311,4803
312,4819
313,4835
314,4853
315,4871
316,4888
317,4908
318,4921
319,4933
320,4947
321,4957
322,4975
323,4993
324,5008
325,5024
326,5039
327,5055
328,5071
329,5090
330,5108
331,5126
332,5141
333,5157
334,5172
335,5184
336,5195
337,5205
338,5216
339,5228
340,5239
341,5252
342,5270
343,5290
344,5310
345,5329
346,5341
347,5353
348,5364
349,5376
350,5387
351,5400
352,5410
353,5420
354,5430
355,5441
356,5451
357,5468
358,5481
359,5495
360,5508
361,5519
362,5529
363,5539
364,5555
365,5569
366,5587
367,5603
368,5613
