,0
0,9
1,6
2,1
3,4
4,7
5,10
6,4
7,8
8,5
9,0
10,10
11,5
12,9
13,4
14,10
15,5
16,7
17,0
18,5
19,1
20,4
21,3
22,0
23,8
24,7
25,0
26,2
27,6
28,10
29,8
30,7
31,7
32,0
33,3
34,9
35,1
36,2
37,10
38,7
39,0
40,4
41,5
42,10
43,0
44,1
45,10
46,4
47,4
48,1
49,7
50,1
51,1
52,9
53,2
54,0
55,7
56,7
57,2
58,0
59,1
60,1
61,2
62,0
63,2
64,0
65,9
66,0
67,8
68,2
69,1
70,10
71,0
72,10
73,4
74,5
75,0
76,1
77,4
78,7
79,7
80,7
81,7
82,8
83,4
84,4
85,9
86,2
87,7
88,2
89,3
90,0
91,9
92,6
93,1
94,10
95,5
96,0
97,10
98,3
99,1
100,2
101,3
102,7
103,9
104,3
105,0
106,4
107,2
108,9
109,9
110,5
111,7
112,0
113,7
114,8
115,9
116,10
117,8
118,5
119,10
120,0
121,10
122,8
123,5
124,0
125,0
126,5
127,0
128,8
129,7
130,4
131,8
132,4
133,1
134,0
135,7
136,7
137,5
138,5
139,10
140,10
141,0
142,9
143,4
144,0
145,10
146,5
147,0
148,1
149,8
150,9
151,3
152,1
153,4
154,5
155,7
156,5
157,1
158,0
159,0
160,5
161,5
162,8
163,2
164,1
165,1
166,1
167,0
168,4
169,0
170,9
171,6
172,7
173,5
174,7
175,2
176,0
177,7
178,2
179,1
180,9
181,3
182,5
183,0
184,7
185,5
186,7
187,8
188,0
189,1
190,5
191,2
192,8
193,4
194,0
195,8
196,9
197,5
198,3
199,1
200,1
201,6
202,7
203,0
204,8
205,9
206,10
207,2
208,6
209,7
210,2
211,7
212,10
213,10
214,2
215,0
216,4
217,0
218,8
219,9
220,4
221,7
222,5
223,5
224,7
225,4
226,2
227,1
228,1
229,8
230,5
231,7
232,10
233,5
234,6
235,1
236,1
237,1
238,1
239,1
240,1
241,7
242,8
243,8
244,7
245,2
246,4
247,9
248,1
249,10
250,5
251,3
252,2
253,5
254,9
255,4
256,10
257,5
