,0
0,0
1,16
2,26
3,47
4,66
5,77
6,98
7,108
8,122
9,139
10,160
11,175
12,185
13,199
14,215
15,228
16,247
17,259
18,276
19,290
20,300
21,320
22,330
23,344
24,361
25,376
26,395
27,405
28,415
29,428
30,446
31,459
32,478
33,499
34,509
35,530
36,545
37,555
38,566
39,578
40,595
41,609
42,624
43,638
44,651
45,661
46,673
47,691
48,712
49,722
50,732
51,746
52,757
53,769
54,784
55,801
56,820
57,838
58,856
59,866
60,877
61,889
62,908
63,923
64,933
65,951
66,962
67,981
68,997
69,1007
70,1018
71,1033
72,1052
73,1071
74,1092
75,1113
76,1125
77,1135
78,1148
79,1162
80,1172
81,1185
82,1205
83,1225
84,1245
85,1260
86,1273
87,1285
88,1306
89,1319
90,1329
91,1346
92,1356
93,1366
94,1382
95,1392
96,1408
97,1420
98,1441
99,1462
100,1481
101,1493
102,1505
103,1521
104,1531
105,1545
106,1562
107,1574
108,1593
109,1604
110,1625
111,1639
112,1653
113,1670
114,1680
115,1691
116,1701
117,1712
118,1732
119,1749
120,1764
121,1779
122,1790
123,1804
124,1821
125,1831
126,1841
127,1858
128,1875
129,1890
130,1908
131,1922
132,1936
133,1952
134,1963
135,1984
136,1994
137,2004
138,2020
139,2035
140,2046
141,2056
142,2073
143,2087
144,2105
145,2120
146,2130
147,2145
148,2157
149,2169
150,2188
151,2207
152,2218
153,2229
154,2250
155,2262
156,2276
157,2297
158,2315
159,2326
160,2345
161,2365
162,2386
163,2405
164,2420
165,2432
166,2442
167,2455
168,2466
169,2476
170,2497
171,2507
172,2519
173,2531
174,2547
175,2560
176,2570
177,2587
178,2597
179,2609
180,2626
181,2646
182,2656
183,2674
184,2685
185,2696
186,2716
187,2732
188,2748
189,2758
190,2775
191,2790
192,2802
193,2823
194,2842
195,2852
196,2872
197,2885
198,2906
199,2917
200,2935
201,2946
202,2957
203,2974
204,2989
205,3010
206,3021
207,3037
208,3049
209,3060
210,3073
211,3083
212,3102
213,3114
214,3126
215,3139
216,3149
217,3161
218,3173
219,3189
220,3200
221,3220
222,3237
223,3249
224,3264
225,3278
226,3291
227,3304
228,3314
229,3328
230,3347
231,3364
232,3380
233,3390
234,3408
235,3419
236,3432
237,3447
238,3468
239,3482
240,3497
241,3518
242,3529
243,3547
244,3566
245,3577
246,3587
247,3604
248,3614
249,3629
250,3642
251,3655
252,3667
253,3677
254,3698
255,3713
256,3731
257,3745
258,3765
