,0
0,"[5.04882622 4.84434223 4.81968498 4.69614792 4.82815313 4.8582902
 4.82043219 4.86626005 4.86501503 4.98058224 5.07846498 4.9140811
 4.82989597 4.68942308 4.50112915 4.41146517]"
1,"[4.71333313 4.68444204 4.74073076 4.87223816 4.77958488 5.12977219
 5.25181484 5.08992195 4.88244915 4.94745588]"
2,"[4.77161503 4.68195105 4.66750479 4.80673313 4.86252403 4.94172716
 4.92902517 4.9302702  4.76638412 4.83064413 4.70461607 4.62939787
 4.68219995 4.63413    4.61221218 4.65779114 4.63014507 4.70262289
 4.61271    4.51681995 4.48269796]"
3,"[4.42840099 4.35841417 4.44857597 4.37360716 4.4655118  4.48419189
 4.50511408 4.44832706 4.45779085 4.46451616 4.51856279 4.47248602
 4.49440384 4.49589777 4.48419189 4.61495209 4.69664621 4.71283484
 4.82591105]"
4,"[4.7833209  4.81271076 4.83089304 4.8052392  4.76837683 4.60772896
 4.65679502 4.76713181 4.93400621 5.08643484 5.375103  ]"
5,"[5.56738186 5.44832802 5.47398186 5.46576309 5.47946215 5.53649807
 5.63363409 5.69116783 5.65330982 5.67921305 5.62939978 5.67373323
 5.76065779 5.69664812 5.70959902 5.75468016 5.80648613 5.95667315
 5.95717096 6.017694   6.36240196]"
6,"[6.37610102 6.49590206 6.45580196 6.62516689 6.90586519 7.17311287
 7.17062283 6.98033619 7.24633884 7.30063486]"
7,"[6.96290112 7.13102102 7.03612709 7.04235411 6.93276405 6.84434605
 6.91009903 6.98133183 7.14073515 7.16912794 7.20549202 7.21570396
 7.40350008 7.57411003]"
8,"[7.52180576 7.29067278 7.32628918 7.25405979 7.36514378 7.2607851
 7.36090994 7.37809515 7.30636406 7.26726103 7.44360018 7.49416018
 7.50163221 7.460536   7.7185688  7.77087307 7.81919193]"
9,"[7.5317688  7.36863089 7.37460804 7.39553022 7.31010008 7.16713619
 7.26302624 7.45181894 7.4047451  7.41545486 7.28145695 7.25405979
 7.26203012 7.11533022 7.07473183 7.21595287 7.0734868  7.11458302
 7.10088396 6.97361088 6.97385979]"
10,"[6.82466888 6.96339893 7.03786993 7.03836823 7.06302595 7.18432093
 7.15493202 7.12330008 7.12952709 7.18432093 7.15094614 7.34422207
 7.35717392 7.44932795 7.71458387]"
11,"[7.76290321 7.54671288 7.53724909 7.47697401 7.56638908 7.66900492
 7.76838207 7.75518179 7.85455894 7.82766008]"
12,"[7.81919193 7.62143278 7.71159506 7.8819561  7.93724918 7.74596596
 7.73874283 7.78955317 7.79552984 7.7372489  7.62392378 7.49615288
 7.40823221 7.37585306]"
13,"[7.59652615 7.5536871  7.68868113 7.55169392 8.46576786 8.68370056
 8.64036369 8.85281658 8.79354    8.92081261 9.26875782 9.44908333
 9.45655537 9.61271858 9.72430134 9.838871  ]"
