,0
0,6
1,6
2,12
3,12
4,9
5,3
6,6
7,3
8,2
9,3
10,8
11,2
12,3
13,8
14,12
15,6
16,12
17,6
18,11
19,10
20,8
21,9
22,6
23,12
24,12
25,13
26,10
27,0
28,8
29,3
30,12
31,12
32,1
33,8
34,12
35,6
36,12
37,7
38,4
39,11
40,0
41,1
42,3
43,3
44,3
45,12
46,7
47,1
48,3
49,12
50,6
51,2
52,3
53,13
54,1
55,12
56,4
57,1
58,10
59,6
60,3
61,12
62,9
63,6
64,4
65,4
66,13
67,12
68,0
69,3
70,8
71,8
72,8
73,12
74,6
75,12
76,1
77,12
78,12
79,0
80,2
81,12
82,13
83,12
84,10
85,10
86,12
87,6
88,3
89,11
90,4
91,12
92,1
93,8
94,12
95,0
96,1
97,8
98,6
99,2
100,12
101,1
102,3
103,8
104,8
105,8
106,3
107,12
108,0
109,13
110,1
111,6
112,10
113,11
114,6
115,6
116,6
117,8
118,12
119,3
120,10
121,6
122,12
123,13
124,11
125,2
126,13
127,8
128,12
129,6
130,1
131,3
132,1
133,0
134,2
135,12
136,6
137,2
138,13
139,0
140,2
141,12
142,4
143,0
144,6
145,4
146,2
147,8
148,1
149,4
150,9
151,3
152,12
153,3
154,2
155,12
156,1
157,7
158,9
159,1
160,1
161,12
162,6
163,8
164,6
165,0
166,1
167,10
168,1
169,3
170,8
171,12
172,13
173,6
174,12
175,4
176,3
177,7
178,13
179,2
180,8
181,12
182,12
183,2
184,8
185,2
186,0
187,13
188,6
189,12
190,6
191,12
192,12
193,0
194,3
195,8
196,10
197,3
198,0
199,3
200,1
201,8
202,12
203,13
204,7
205,6
206,12
207,12
208,8
209,8
210,10
211,0
212,0
213,4
214,6
215,11
216,1
217,4
218,12
219,4
220,4
221,8
222,12
223,4
224,1
225,0
226,11
227,6
228,3
229,12
230,2
231,12
232,3
233,13
234,1
235,3
236,12
237,6
238,11
239,1
240,7
241,11
242,12
243,1
244,4
245,2
246,10
247,13
248,13
249,11
250,10
251,4
252,11
253,4
254,6
255,5
256,3
257,9
258,11
259,7
260,0
261,5
262,12
263,1
264,0
265,3
266,6
267,3
268,12
269,12
270,4
271,0
272,8
273,1
274,1
275,9
276,9
277,6
278,6
279,3
280,3
281,8
282,8
283,10
284,6
285,0
286,2
287,6
288,0
289,4
290,8
291,6
292,5
293,10
294,10
295,8
296,0
297,0
298,8
299,13
300,8
301,1
302,6
303,3
304,6
305,12
306,6
307,3
308,12
309,0
310,8
311,6
312,1
313,8
314,3
315,7
316,8
317,3
318,7
319,4
320,6
321,12
322,4
323,6
324,6
325,6
326,1
327,3
328,10
329,4
330,11
331,2
332,6
333,12
334,11
335,13
336,7
337,6
338,3
339,10
340,8
341,2
342,7
343,2
344,2
345,10
346,0
347,2
348,3
349,12
350,3
351,0
352,3
353,3
354,6
355,2
356,3
357,10
358,10
359,12
360,1
361,12
362,1
363,3
364,8
365,3
366,5
367,0
368,6
369,0
370,0
371,13
372,12
373,0
374,13
375,12
376,11
377,5
378,8
379,0
380,0
381,0
382,10
383,12
384,12
385,6
386,5
387,6
388,4
389,3
390,12
391,11
392,3
393,0
394,0
395,5
396,12
397,0
398,12
399,2
400,4
401,12
402,12
403,1
404,13
405,3
406,7
407,12
408,4
409,12
410,12
411,4
412,1
413,6
414,8
415,8
416,12
417,0
418,0
419,6
420,8
421,10
422,10
423,0
424,6
425,6
426,6
427,5
428,0
429,8
430,12
431,12
432,8
433,2
434,12
435,12
436,11
437,6
438,9
439,8
440,7
441,6
442,5
443,3
444,7
445,6
446,5
447,12
448,3
449,7
450,13
451,13
452,11
453,3
454,8
455,0
456,1
457,12
458,13
459,6
460,3
461,3
462,10
463,8
464,8
465,5
466,5
467,12
468,0
469,1
470,11
471,3
472,3
473,3
474,6
475,6
476,3
477,8
478,8
479,5
480,11
481,13
482,6
483,13
484,6
485,10
486,8
487,0
488,12
489,2
490,1
491,6
492,12
493,0
494,8
495,0
496,12
497,4
498,6
499,7
500,2
501,10
502,3
503,1
504,0
505,12
506,8
507,3
508,12
509,12
510,0
511,0
512,2
513,5
514,12
515,4
516,0
517,8
518,3
519,1
520,5
521,12
522,2
523,6
524,8
525,8
526,8
527,12
528,1
529,5
530,3
531,12
532,2
533,3
534,6
535,6
536,12
537,12
538,5
539,12
540,6
541,11
542,12
543,6
544,3
545,13
546,7
547,6
548,6
549,3
550,0
551,6
552,3
553,7
554,12
555,3
556,0
557,2
558,5
559,7
560,6
561,13
562,0
563,1
564,8
565,1
566,9
567,3
568,0
569,9
570,12
571,2
572,10
573,10
574,3
575,3
576,11
577,2
578,12
579,3
580,4
581,2
582,6
583,13
584,3
585,2
586,3
587,13
588,4
589,7
590,8
591,1
592,11
593,3
594,7
595,6
596,3
597,3
598,3
599,11
600,8
601,3
602,2
603,8
604,10
605,5
606,3
607,3
608,11
609,6
610,6
611,0
612,0
613,6
614,1
615,12
616,1
617,7
618,2
619,0
620,1
621,13
622,3
623,2
624,0
625,2
626,10
627,10
628,12
629,2
630,8
631,3
632,12
633,9
634,0
635,0
636,11
637,0
638,6
639,6
640,8
641,7
642,3
643,12
644,8
645,8
646,11
647,4
648,11
649,12
650,6
651,9
652,2
653,3
654,6
655,12
656,0
657,9
658,8
659,1
660,8
661,11
662,8
663,6
664,3
665,3
666,8
667,6
668,6
669,0
670,6
671,8
672,11
673,13
674,8
675,3
676,12
677,6
678,8
679,3
680,8
681,11
