,0
0,0
1,16
2,31
3,47
4,61
5,71
6,89
7,101
8,113
9,123
10,138
11,155
12,165
13,184
14,201
15,212
16,226
17,239
18,256
19,268
20,279
21,294
22,306
23,316
24,326
25,339
26,354
27,367
28,379
29,390
30,402
31,419
32,438
33,449
34,465
35,477
36,488
37,509
38,519
39,529
40,539
41,551
42,563
43,573
44,585
45,596
46,610
47,621
48,631
49,644
50,657
51,677
52,688
53,701
54,711
55,723
56,733
57,747
58,766
59,780
60,790
61,803
62,813
63,831
64,842
65,853
66,863
67,878
68,896
69,909
70,921
71,931
72,945
73,955
74,974
75,988
76,1005
77,1017
78,1032
79,1049
80,1060
81,1073
82,1083
83,1096
84,1110
85,1121
86,1133
87,1154
88,1166
89,1177
90,1187
91,1197
92,1208
93,1218
94,1228
95,1238
96,1248
97,1258
98,1275
99,1293
100,1307
101,1317
102,1328
103,1345
104,1361
105,1374
106,1391
107,1402
108,1423
109,1444
110,1465
111,1486
112,1506
113,1517
114,1531
115,1545
116,1558
117,1577
118,1591
119,1602
120,1620
121,1632
122,1644
123,1654
124,1675
125,1694
126,1712
127,1729
128,1750
129,1770
130,1785
131,1796
132,1817
133,1829
134,1842
135,1857
136,1867
137,1884
138,1904
139,1923
140,1943
141,1961
142,1977
143,1987
144,2005
145,2018
146,2028
147,2043
148,2054
149,2070
150,2081
151,2094
152,2104
153,2115
154,2133
155,2143
156,2164
157,2174
158,2186
159,2201
160,2220
161,2230
162,2246
163,2260
164,2275
165,2295
166,2314
167,2326
168,2346
169,2359
170,2373
171,2385
172,2395
173,2414
174,2427
175,2438
176,2449
177,2469
178,2485
179,2506
180,2517
181,2529
182,2540
183,2550
184,2561
185,2575
186,2593
187,2606
188,2618
189,2635
190,2650
191,2664
192,2683
193,2693
194,2712
195,2723
196,2733
197,2743
198,2763
199,2783
200,2803
201,2813
202,2825
203,2837
204,2855
205,2874
206,2885
207,2895
208,2906
209,2919
210,2933
211,2945
212,2956
213,2977
214,2988
215,3001
216,3011
217,3031
218,3042
219,3056
220,3066
221,3078
222,3090
223,3103
224,3114
225,3125
226,3146
227,3157
228,3169
229,3183
230,3199
231,3210
232,3227
233,3242
234,3263
235,3273
236,3284
237,3294
238,3311
239,3324
240,3335
241,3345
242,3356
243,3366
244,3379
245,3397
246,3411
247,3423
248,3433
249,3452
250,3462
251,3480
252,3493
253,3503
254,3513
255,3524
256,3538
257,3551
258,3564
259,3576
260,3589
261,3602
262,3620
263,3631
264,3641
265,3662
266,3677
267,3698
268,3708
269,3718
270,3734
271,3746
272,3767
273,3788
274,3805
275,3821
276,3831
277,3845
278,3865
279,3884
280,3901
281,3913
282,3929
283,3939
284,3951
285,3971
286,3989
287,4010
288,4029
289,4039
290,4049
291,4067
292,4077
293,4090
294,4111
295,4128
296,4145
297,4164
298,4182
299,4195
300,4209
301,4225
302,4241
303,4251
304,4264
305,4275
306,4289
307,4310
308,4330
309,4340
310,4360
311,4381
312,4400
313,4417
314,4435
315,4450
316,4467
317,4482
318,4492
319,4506
320,4519
321,4535
322,4547
323,4557
324,4573
325,4587
326,4606
327,4617
328,4627
329,4637
330,4647
331,4657
332,4672
333,4688
334,4708
335,4718
336,4735
337,4746
338,4767
339,4777
340,4787
341,4802
342,4823
343,4835
344,4848
345,4869
346,4882
347,4903
348,4919
349,4933
350,4952
351,4967
352,4988
353,4999
354,5013
355,5023
356,5037
357,5056
358,5068
359,5082
360,5093
361,5111
362,5129
363,5139
364,5150
365,5162
366,5173
367,5192
368,5202
369,5222
370,5235
371,5253
372,5272
373,5283
374,5302
375,5323
376,5343
377,5360
378,5381
379,5402
380,5412
381,5423
382,5440
383,5455
384,5469
385,5485
386,5501
387,5522
388,5532
389,5542
390,5558
391,5570
392,5582
393,5603
394,5621
395,5637
396,5651
397,5664
398,5682
399,5696
400,5709
401,5722
402,5740
403,5751
404,5761
405,5771
406,5786
407,5797
408,5807
409,5820
410,5838
411,5855
412,5869
413,5886
414,5898
415,5913
416,5923
417,5933
418,5946
419,5957
420,5976
421,5988
422,6005
423,6019
424,6031
425,6052
426,6065
427,6076
428,6088
429,6108
430,6125
431,6135
432,6149
433,6165
434,6179
435,6189
436,6201
437,6214
438,6229
439,6239
440,6252
441,6264
442,6279
443,6300
444,6311
445,6325
446,6336
447,6356
448,6366
449,6378
450,6393
451,6414
452,6428
453,6438
454,6449
455,6459
456,6477
457,6487
458,6508
459,6527
460,6540
461,6553
462,6571
463,6583
464,6599
465,6616
466,6629
467,6650
468,6660
469,6676
470,6690
471,6700
472,6713
473,6723
474,6734
475,6755
476,6771
477,6786
478,6806
479,6824
480,6837
481,6856
482,6872
483,6890
484,6903
485,6920
486,6931
487,6944
488,6963
489,6973
490,6984
491,6996
492,7009
493,7019
494,7033
495,7052
496,7069
497,7080
498,7090
499,7104
500,7118
501,7128
502,7140
503,7153
504,7163
505,7178
506,7194
507,7207
508,7220
509,7238
510,7259
511,7274
512,7292
513,7303
514,7320
515,7330
516,7340
517,7354
518,7374
519,7392
520,7406
521,7422
522,7438
523,7455
524,7466
525,7483
526,7501
527,7520
528,7530
529,7540
530,7559
531,7577
532,7589
533,7603
534,7619
535,7634
536,7648
537,7658
538,7671
539,7687
540,7697
541,7717
542,7727
543,7737
544,7751
545,7766
546,7784
547,7801
548,7816
549,7833
550,7853
551,7874
552,7889
553,7905
554,7916
555,7935
556,7952
557,7973
558,7991
559,8002
560,8012
561,8022
562,8032
563,8050
564,8060
565,8081
566,8102
567,8112
568,8128
569,8143
570,8158
571,8170
572,8191
573,8202
574,8213
575,8234
576,8253
577,8263
578,8276
579,8291
580,8305
581,8315
582,8328
583,8344
584,8358
585,8372
586,8385
587,8395
588,8413
589,8424
590,8437
591,8458
592,8474
593,8484
594,8504
595,8518
596,8534
597,8547
598,8557
599,8577
600,8596
601,8607
602,8617
603,8629
604,8639
605,8653
606,8667
607,8684
608,8704
609,8725
610,8738
611,8748
612,8766
613,8776
614,8791
615,8802
616,8818
617,8828
618,8839
619,8858
620,8875
621,8885
622,8900
623,8910
624,8923
625,8937
626,8947
627,8967
628,8978
629,8992
630,9007
631,9028
632,9038
633,9049
634,9059
635,9069
636,9086
637,9096
638,9109
639,9129
640,9143
641,9156
642,9166
643,9186
644,9197
645,9216
646,9237
647,9258
648,9269
649,9281
650,9294
651,9309
652,9321
653,9337
654,9351
655,9370
656,9391
657,9404
658,9420
659,9438
660,9449
661,9470
662,9487
663,9508
664,9525
665,9535
666,9549
667,9562
668,9576
669,9597
670,9611
671,9622
672,9632
673,9646
674,9658
675,9676
676,9696
677,9706
678,9726
679,9736
680,9751
681,9766
682,9783
683,9793
684,9803
685,9817
686,9828
687,9847
688,9868
689,9880
690,9890
691,9900
692,9915
693,9925
694,9940
695,9953
696,9963
697,9984
698,9994
699,10012
700,10025
701,10045
702,10064
703,10080
