,0
0,"[105.76000214 105.22000122 106.51999664 106.80999756 108.94999695
 109.05000305 109.88999939 109.91999817 110.37999725 111.13999939
 111.05000305 110.69999695 111.06999969 112.09999847 111.51000214
 113.44000244]"
1,"[113.69999695 113.61000061 114.84999847 114.06999969 115.19999695
 114.16000366 115.12000275 114.37000275 114.66000366 115.72000122
 116.27999878 117.94999695 117.12000275 117.90000153 118.44000244]"
2,"[116.72000122 115.41000366 114.59999847 116.47000122 115.27999878
 115.04000092 113.33000183 113.98000336 112.37999725 112.34999847
 113.66000366 112.5        112.77999878 111.12999725 108.65000153
 106.90000153]"
3,"[106.51000214 107.77999878 106.87000275 105.62000275 105.43000031
 102.26000214 104.09999847 104.30999756 103.12000275 102.30999756
  99.27999878  99.19000244  98.68000031  98.22000122]"
4,"[100.68000031 102.08999634 102.18000031 102.68000031 102.15000153
 100.19000244 101.19999695 103.11000061 104.08000183 103.79000092]"
5,"[102.83999634 102.62999725 101.54000092 101.05000305 100.55000305
  99.80000305 103.43000031 103.73000336 104.40000153 105.16000366
 105.63999939 105.86000061 106.29000092 105.45999908 105.58000183
 106.37999725 106.25       107.18000031]"
6,"[106.12999725 104.72000122 104.77999878 106.30000305 106.84999847
 106.98999786 107.34999847 107.66999817 107.62000275 107.72000122
 109.01000214 110.62000275]"
7,"[111.40000153 112.05999756 110.26999664 111.23999786 110.76000214
 110.51000214 112.61000061 112.77999878 113.19999695 113.70999908
 114.66000366 116.01999664]"
8,"[115.51999664 115.80999756 116.08999634 116.02999878 116.26000214
 114.66000366 114.05999756 114.51000214 115.13999939 116.72000122]"
9,"[116.19000244 116.         114.23999786 114.93000031 115.68000031
 117.45999908 118.29000092 117.83999634 117.98000336 116.94999695
 117.83999634 120.01000214 119.30000305 119.62999725 121.44000244]"
10,"[122.04000092 122.51000214 122.19000244 121.93000031 121.79000092
 120.77999878 121.43000031 122.40000153 122.23000336 121.66999817
 121.20999908 120.98000336 120.73999786 121.55000305 123.30000305
 123.61000061 124.77999878]"
11,"[123.79000092 123.27999878 125.25       125.72000122 123.38999939
 122.59999847 123.76999664 125.45999908 126.01999664 125.16000366]"
12,"[124.83999634 123.51999664 122.08000183 122.37999725 123.73999786
 126.12000275 125.41999817 124.87999725 123.30999756 124.06999969
 124.80999756 125.66000366 125.54000092 125.66999817 126.73999786
 128.86999512 128.3999939  129.25       130.3999939 ]"
