,0
0,3
1,0
2,9
3,7
4,7
5,7
6,6
7,5
8,8
9,1
10,8
11,3
12,7
13,5
14,8
15,7
16,2
17,9
18,7
19,6
20,3
21,10
22,9
23,2
24,10
25,10
26,9
27,6
28,9
29,3
30,6
31,3
32,10
33,8
34,1
35,3
36,6
37,2
38,3
39,6
40,9
41,7
42,3
43,6
44,5
45,9
46,7
47,6
48,0
49,2
50,10
51,0
52,2
53,10
54,10
55,9
56,7
57,2
58,3
59,9
60,3
61,10
62,10
63,3
64,3
65,1
66,3
67,6
68,1
69,9
70,7
71,6
72,10
73,9
74,7
75,2
76,1
77,10
78,9
79,3
80,8
81,9
82,7
83,3
84,2
85,0
86,10
87,1
88,9
89,10
90,9
91,10
92,3
93,10
94,3
95,7
96,5
97,2
98,5
99,5
100,1
101,1
102,3
103,5
104,3
105,7
106,1
107,10
108,10
109,3
110,7
111,5
112,1
113,10
114,7
115,6
116,5
117,10
118,5
119,6
120,1
121,6
122,3
123,5
124,1
125,10
126,5
127,7
128,3
129,2
130,3
131,7
132,8
133,3
134,1
135,2
136,9
137,7
138,10
139,7
140,2
141,5
142,3
143,7
144,10
145,3
146,7
147,0
148,0
149,9
150,7
151,7
152,5
153,9
154,1
155,7
156,7
157,2
158,0
159,7
160,6
161,10
162,1
163,10
164,5
165,1
166,1
167,3
168,5
169,0
170,2
171,7
172,5
173,3
174,10
175,10
176,9
177,10
178,8
179,10
180,3
181,3
182,4
183,7
184,2
185,7
186,5
187,10
188,3
189,7
190,2
191,7
192,3
193,0
194,5
195,1
196,6
197,3
198,8
199,7
200,6
201,9
202,10
203,7
204,2
205,7
206,6
207,4
208,7
209,1
210,10
211,9
212,6
213,3
214,9
215,7
216,9
217,7
218,10
219,7
220,10
221,5
222,10
223,7
224,7
225,3
226,3
227,3
228,7
229,7
230,7
231,5
232,1
233,2
234,3
235,3
236,4
237,9
238,4
239,3
240,1
241,8
242,10
243,6
244,3
245,2
246,6
247,10
248,5
249,9
250,3
251,0
252,7
253,2
254,7
255,7
256,5
257,10
258,1
259,5
260,3
261,7
262,2
263,3
264,0
265,10
266,7
267,1
268,1
269,6
270,10
271,8
272,9
273,0
274,8
275,10
276,10
277,7
278,6
279,6
280,3
281,10
282,6
283,7
284,3
285,8
286,6
287,10
288,2
289,6
290,4
291,10
292,2
293,9
294,3
295,5
296,3
297,1
298,1
299,9
300,7
301,5
302,8
303,8
304,7
305,3
306,6
307,9
308,2
309,2
310,3
311,6
312,3
313,3
314,3
315,5
316,1
317,7
318,9
319,8
320,4
