,0
0,0
1,11
2,32
3,46
4,67
5,79
6,91
7,101
8,121
9,131
10,144
11,164
12,175
13,195
14,208
15,218
16,233
17,245
18,255
19,274
20,285
21,304
22,325
23,344
24,358
25,374
26,389
27,400
28,410
29,431
30,450
31,461
32,471
33,481
34,491
35,512
36,524
37,534
38,551
39,565
40,575
41,592
42,613
43,623
44,644
45,655
46,673
47,687
48,697
49,716
50,726
51,746
52,763
53,775
54,792
55,802
56,816
57,828
58,842
59,856
60,868
61,878
62,889
63,899
64,914
65,928
66,939
67,951
68,961
69,982
70,992
71,1013
72,1030
73,1041
74,1056
75,1074
76,1088
77,1107
78,1126
79,1140
80,1158
81,1173
82,1185
83,1205
84,1221
85,1235
86,1245
87,1266
88,1282
89,1292
90,1308
91,1320
92,1337
93,1357
94,1375
95,1385
96,1401
97,1411
98,1430
99,1451
100,1472
101,1493
102,1506
103,1520
104,1530
105,1544
106,1558
107,1579
108,1598
109,1608
110,1622
111,1634
112,1646
113,1656
114,1677
115,1688
116,1698
117,1711
118,1731
119,1748
120,1758
121,1779
122,1789
123,1801
124,1814
125,1835
126,1855
127,1870
128,1883
129,1897
130,1908
131,1921
132,1939
133,1956
134,1973
135,1989
136,2002
137,2022
138,2033
139,2052
140,2073
141,2087
142,2102
143,2123
144,2138
145,2148
146,2158
147,2171
148,2192
149,2203
150,2214
151,2226
152,2236
153,2257
154,2270
155,2289
156,2299
157,2313
158,2323
159,2341
160,2358
161,2368
162,2386
163,2400
164,2411
165,2428
166,2446
167,2464
168,2476
169,2494
170,2512
171,2532
172,2553
173,2572
174,2590
175,2600
176,2615
177,2625
178,2637
179,2650
180,2670
181,2687
182,2697
183,2710
184,2731
185,2752
186,2766
187,2779
188,2797
189,2816
190,2828
191,2838
192,2848
193,2860
194,2879
195,2894
196,2908
197,2918
198,2935
199,2952
200,2972
201,2984
202,3003
203,3016
204,3034
205,3048
206,3069
207,3079
208,3091
209,3102
210,3122
211,3137
212,3158
213,3170
214,3180
215,3193
216,3203
217,3220
218,3230
219,3244
220,3263
221,3283
222,3301
223,3319
224,3332
225,3353
226,3364
227,3383
228,3397
229,3409
230,3426
231,3445
232,3466
233,3477
234,3498
235,3519
236,3529
237,3541
238,3560
239,3570
240,3587
241,3603
242,3613
243,3632
244,3642
245,3652
246,3662
247,3672
248,3687
249,3701
250,3711
251,3730
252,3743
253,3762
254,3772
255,3790
256,3800
257,3819
258,3836
259,3856
260,3868
261,3889
262,3910
263,3921
264,3931
265,3952
266,3962
267,3979
268,3999
269,4014
270,4026
271,4042
272,4052
273,4069
274,4082
275,4093
276,4108
277,4121
278,4131
279,4143
280,4153
281,4173
282,4190
283,4200
284,4214
285,4233
286,4253
287,4263
288,4284
289,4303
290,4314
291,4331
292,4347
293,4361
294,4380
295,4396
296,4407
297,4426
298,4447
299,4461
300,4473
301,4489
302,4503
303,4514
304,4524
305,4539
306,4558
307,4570
308,4590
309,4611
310,4625
311,4635
312,4645
313,4658
314,4668
315,4683
316,4700
317,4710
318,4729
319,4741
320,4751
321,4763
