protocol,run,kind,n_days,start_mean,end_mean,first_start,last_end,min,max,mean,std,return_mean,return_std,block_jump_abs_mean
authors,0,blocks,25200,1253.2998046875,1248.8116455078125,1253.300048828125,1248.7120361328125,1161.7900390625,1275.9200439453125,1214.3388671875,24.523542404174805,9.914235306496266e-06,0.004461638163775206,4.487411975860596
authors,1,blocks,25200,1253.2998046875,1248.81298828125,1253.300048828125,1248.83935546875,1161.7900390625,1275.9200439453125,1214.338134765625,24.5247859954834,9.918255273078103e-06,0.004461631644517183,4.487334251403809
authors,2,blocks,25200,1253.2998046875,1248.843017578125,1253.300048828125,1248.8326416015625,1161.7900390625,1275.9200439453125,1214.3583984375,24.530908584594727,9.917775969370268e-06,0.004461572505533695,4.456974506378174
authors,3,blocks,25200,1253.2998046875,1248.849365234375,1253.300048828125,1249.001708984375,1161.7900390625,1275.9200439453125,1214.3623046875,24.52919578552246,9.923129255184904e-06,0.0044615683145821095,4.452167987823486
authors,4,blocks,25200,1253.2998046875,1248.821044921875,1253.300048828125,1248.8519287109375,1161.7900390625,1275.9200439453125,1214.3480224609375,24.524930953979492,9.91857723420253e-06,0.004461615812033415,4.479286193847656
authors,5,blocks,25200,1253.2998046875,1248.83984375,1253.300048828125,1248.96484375,1161.7900390625,1275.9200439453125,1214.3536376953125,24.53093719482422,9.921922355715651e-06,0.004461561795324087,4.461445331573486
authors,6,blocks,25200,1253.2998046875,1248.8450927734375,1253.300048828125,1248.6053466796875,1161.7900390625,1275.9200439453125,1214.3555908203125,24.53155517578125,9.910450899042189e-06,0.004461549688130617,4.452631950378418
authors,7,blocks,25200,1253.2998046875,1248.8363037109375,1253.300048828125,1249.0159912109375,1161.7900390625,1275.9200439453125,1214.3526611328125,24.528533935546875,9.923656762111932e-06,0.00446158554404974,4.465583801269531
authors,8,blocks,25200,1253.2998046875,1248.8218994140625,1253.300048828125,1248.8714599609375,1161.7900390625,1275.9200439453125,1214.341064453125,24.52549171447754,9.919135663949419e-06,0.004461600445210934,4.478642463684082
authors,9,blocks,25200,1253.2998046875,1248.8106689453125,1253.300048828125,1248.75341796875,1161.7900390625,1275.9200439453125,1214.3360595703125,24.525876998901367,9.915549526340328e-06,0.004461638629436493,4.488865852355957
authors,10,blocks,25200,1253.2998046875,1248.8291015625,1253.300048828125,1248.905029296875,1161.7900390625,1275.9200439453125,1214.346923828125,24.52703857421875,9.920221600623336e-06,0.004461605567485094,4.471663475036621
authors,11,blocks,25200,1253.2998046875,1248.836669921875,1253.300048828125,1248.8487548828125,1161.7900390625,1275.9200439453125,1214.3509521484375,24.528026580810547,9.91827437246684e-06,0.004461569245904684,4.463446617126465
authors,12,blocks,25200,1253.2998046875,1248.8228759765625,1253.300048828125,1248.821044921875,1161.7900390625,1275.9200439453125,1214.34423828125,24.52611541748047,9.917577699525282e-06,0.004461610224097967,4.477066993713379
authors,13,blocks,25200,1253.2998046875,1248.831298828125,1253.300048828125,1248.8853759765625,1161.7900390625,1275.9200439453125,1214.348876953125,24.527366638183594,9.919481271936093e-06,0.004461579956114292,4.469396114349365
authors,14,blocks,25200,1253.2998046875,1248.824462890625,1253.300048828125,1248.89208984375,1161.7900390625,1275.9200439453125,1214.350341796875,24.526287078857422,9.919842341332696e-06,0.004461612086743116,4.476345539093018
authors,15,blocks,25200,1253.2998046875,1248.8397216796875,1253.300048828125,1248.841064453125,1161.7900390625,1275.9200439453125,1214.356689453125,24.529891967773438,9.918011528498027e-06,0.00446156645193696,4.46043586730957
authors,16,blocks,25200,1253.2998046875,1248.8204345703125,1253.300048828125,1248.833984375,1161.7900390625,1275.9200439453125,1214.345458984375,24.52565574645996,9.918041541823186e-06,0.004461623262614012,4.479757308959961
authors,17,blocks,25200,1253.2998046875,1248.8336181640625,1253.300048828125,1248.9088134765625,1161.7900390625,1275.9200439453125,1214.352294921875,24.527286529541016,9.92031618807232e-06,0.004461600445210934,4.46728515625
authors,18,blocks,25200,1253.2998046875,1248.8212890625,1253.300048828125,1248.73193359375,1161.7900390625,1275.9200439453125,1214.340576171875,24.526521682739258,9.914747352013364e-06,0.004461612086743116,4.477856159210205
authors,19,blocks,25200,1253.2998046875,1248.826904296875,1253.300048828125,1248.716552734375,1161.7900390625,1275.9200439453125,1214.3480224609375,24.529319763183594,9.914246220432688e-06,0.004461608827114105,4.471944808959961
authors,20,blocks,25200,1253.2998046875,1248.824951171875,1253.300048828125,1248.7900390625,1161.7900390625,1275.9200439453125,1214.35009765625,24.52447509765625,9.91662273008842e-06,0.004461617209017277,4.474765777587891
authors,21,blocks,25200,1253.2998046875,1248.8270263671875,1253.300048828125,1248.8375244140625,1161.7900390625,1275.9200439453125,1214.347900390625,24.5273494720459,9.918035175360274e-06,0.004461596254259348,4.473080635070801
authors,22,blocks,25200,1253.2998046875,1248.8404541015625,1253.300048828125,1248.81640625,1161.7900390625,1275.9200439453125,1214.3555908203125,24.529813766479492,9.917319403029978e-06,0.004461586009711027,4.45936393737793
authors,23,blocks,25200,1253.2998046875,1248.8262939453125,1253.300048828125,1248.9112548828125,1161.7900390625,1275.9200439453125,1214.348388671875,24.527053833007812,9.920443517330568e-06,0.004461611155420542,4.474551200866699
authors,24,blocks,25200,1253.2998046875,1248.836181640625,1253.300048828125,1248.8465576171875,1161.7900390625,1275.9200439453125,1214.3538818359375,24.527568817138672,9.918294381350279e-06,0.004461589735001326,4.463890552520752
authors,25,blocks,25200,1253.2998046875,1248.8201904296875,1253.300048828125,1248.73876953125,1161.7900390625,1275.9200439453125,1214.3387451171875,24.528715133666992,9.914993825077545e-06,0.004461617674678564,4.478944778442383
authors,26,blocks,25200,1253.2998046875,1248.8380126953125,1253.300048828125,1248.8072509765625,1161.7900390625,1275.9200439453125,1214.3546142578125,24.526052474975586,9.917032002704218e-06,0.0044615864753723145,4.4617156982421875
authors,27,blocks,25200,1253.2998046875,1248.824951171875,1253.300048828125,1248.837158203125,1161.7900390625,1275.9200439453125,1214.34716796875,24.527883529663086,9.918034265865572e-06,0.004461599048227072,4.475190162658691
authors,28,blocks,25200,1253.2998046875,1248.831298828125,1253.300048828125,1248.99072265625,1161.7900390625,1275.9200439453125,1214.3477783203125,24.530635833740234,9.92296827462269e-06,0.0044616106897592545,4.470392227172852
authors,29,blocks,25200,1253.2998046875,1248.818115234375,1253.300048828125,1248.79443359375,1161.7900390625,1275.9200439453125,1214.342041015625,24.526121139526367,9.916772796714213e-06,0.004461619537323713,4.481662273406982
random_init,0,blocks,25200,1761.7032470703125,1841.3990478515625,2040.239990234375,2075.195068359375,1158.6700439453125,2289.458740234375,1807.71337890625,276.48455810546875,0.0001130423042923212,0.014668840914964676,346.11529541015625
random_init,1,blocks,25200,1775.9853515625,1850.7227783203125,1791.530029296875,1965.953857421875,1161.7900390625,2243.340087890625,1816.798583984375,270.8020935058594,9.754576603882015e-05,0.01334707997739315,303.4737243652344
random_init,2,blocks,25200,1830.21240234375,1902.8466796875,1655.449951171875,1652.01171875,1158.6700439453125,2236.308837890625,1869.5218505859375,274.1503601074219,0.000103877937362995,0.014237530529499054,316.8526611328125
random_init,3,blocks,25200,1800.4898681640625,1882.03857421875,2033.1099853515625,2070.25,1158.6700439453125,2289.509765625,1848.14208984375,273.766357421875,0.00010847057274077088,0.014557408168911934,324.8743591308594
random_init,4,blocks,25200,1802.65283203125,1874.84521484375,2096.989990234375,1465.118408203125,1161.7900390625,2289.53955078125,1841.149658203125,283.47412109375,9.076610876945779e-05,0.01422546524554491,337.19097900390625
