asset,k,protocol,aug,mean,std,n
goog,k11,authors,0,0.01185543602332468,0.0006080611755414086,30
goog,k11,authors,10,0.02058132626116269,0.004049787864243336,30
goog,k11,authors,100,0.13077663605411843,0.08956185712421022,30
goog,k11,authors,20,0.03635071826477842,0.01685183830223155,30
goog,k11,authors,30,0.04610973913222547,0.028717494582754344,30
goog,k11,authors,40,0.07159722087283925,0.06011226859350755,30
goog,k11,authors,50,0.07911231319109596,0.051283896788551706,30
goog,k11,authors,60,0.09642251605788864,0.07233250342386768,30
goog,k11,authors,70,0.12395769500484066,0.08342721729531029,30
goog,k11,authors,80,0.12254962443063654,0.08394899023898622,30
goog,k11,authors,90,0.13003613327940303,0.08701772328877985,30
goog,k11,single,0,0.01185543602332468,0.0006080611755414086,30
goog,k11,single,10,0.018020154846211216,0.004152916195061514,30
goog,k11,single,100,0.024379189560810685,0.006860837890961484,30
goog,k11,single,20,0.015471595556785624,0.002707379732370815,30
goog,k11,single,30,0.01445722387482718,0.0017031949960638572,30
goog,k11,single,40,0.015437915734946675,0.0020136048286220993,30
goog,k11,single,50,0.017485820595174985,0.003212648616723867,30
goog,k11,single,60,0.01825801615292822,0.0033791910366570603,30
goog,k11,single,70,0.019554481593271056,0.005267758204890617,30
goog,k11,single,80,0.020156011854608795,0.004563965423521536,30
goog,k11,single,90,0.02197491998473798,0.004880545986304511,30
goog,k14,authors,0,0.011663357261568271,0.000896555663541315,30
goog,k14,authors,10,0.0199350984456638,0.004590907732636385,30
goog,k14,authors,100,0.11924227116008597,0.07678753430887628,30
goog,k14,authors,20,0.03024061191827054,0.010491065243337382,30
goog,k14,authors,30,0.04226444127658999,0.01504733310147814,30
goog,k14,authors,40,0.05441317309935885,0.020447062383090454,30
goog,k14,authors,50,0.06886461538573102,0.04055240260928136,30
goog,k14,authors,60,0.07816923800855871,0.04741398095362361,30
goog,k14,authors,70,0.094284317890803,0.05920006169610429,30
goog,k14,authors,80,0.11674874549110728,0.06344530815775268,30
goog,k14,authors,90,0.12077839262783524,0.06739256206569955,30
goog,k14,single,0,0.011663357261568271,0.000896555663541315,30
goog,k14,single,10,0.015488573194791827,0.002479688185349022,30
goog,k14,single,100,0.03171263172601655,0.0127750274165614,30
goog,k14,single,20,0.014964303653687193,0.0026166624492798326,30
goog,k14,single,30,0.01686576642096038,0.003637614354010115,30
goog,k14,single,40,0.019318800481657152,0.004345617479712247,30
goog,k14,single,50,0.020361936992655146,0.005544493499721763,30
goog,k14,single,60,0.026652660841743097,0.012214590330189661,30
goog,k14,single,70,0.021439081337302875,0.004915370321327786,30
goog,k14,single,80,0.026891929221649916,0.008320229608514616,30
goog,k14,single,90,0.02839573373397188,0.010646270533486752,30
sp500,k14,authors,0,0.061145675430695184,0.010606168410759195,30
sp500,k14,authors,10,0.0851181199153264,0.021134684115313638,30
sp500,k14,authors,100,0.18856628363331157,0.057895842458674955,30
sp500,k14,authors,20,0.10505934307972588,0.03517646584614965,30
sp500,k14,authors,30,0.11857357198993361,0.021719441384477744,30
sp500,k14,authors,40,0.13613828395803768,0.03926376436344933,30
sp500,k14,authors,50,0.1419029449423154,0.0458761825880152,30
sp500,k14,authors,60,0.14741662740707395,0.046877019954385785,30
sp500,k14,authors,70,0.1571242066721121,0.04882570576818198,30
sp500,k14,authors,80,0.16042058145006494,0.04903138438114598,30
sp500,k14,authors,90,0.19204660654067987,0.05608908345977976,30
sp500,k14,random_init,0,0.061145675430695184,0.010606168410759195,30
sp500,k14,random_init,10,0.0945694543421268,0.017089248855415247,30
sp500,k14,random_init,100,0.10282620588938392,0.014978338800408051,30
sp500,k14,random_init,20,0.09744892877837019,0.017056682596816572,30
sp500,k14,random_init,30,0.09518541780610876,0.016564237243059585,30
sp500,k14,random_init,40,0.09785614758729931,0.015502085117520843,30
sp500,k14,random_init,50,0.09742629453539846,0.01569338902418292,30
sp500,k14,random_init,60,0.0962990728517373,0.01301928244673795,30
sp500,k14,random_init,70,0.10165289044380185,0.016274838133265676,30
sp500,k14,random_init,80,0.10184342736999191,0.01158403740006474,30
sp500,k14,random_init,90,0.09865828653176623,0.012295642807349313,30
sp500,k14,single,0,0.061145675430695184,0.010606168410759195,30
sp500,k14,single,10,0.09397147409617897,0.016860461618584916,30
sp500,k14,single,100,0.01734153296177581,0.007443394550628334,30
sp500,k14,single,20,0.06270450912415979,0.009769894949119527,30
sp500,k14,single,30,0.018437834177166167,0.008483924947108713,30
sp500,k14,single,40,0.014933550559605113,0.006020311977784822,30
sp500,k14,single,50,0.013177552881340131,0.006554828522240489,30
sp500,k14,single,60,0.01802379800938065,0.010858274781985207,30
sp500,k14,single,70,0.014995584310963693,0.0068076409323833825,30
sp500,k14,single,80,0.01645858908692991,0.007950494968872296,30
sp500,k14,single,90,0.01534033489103113,0.006422605110065233,30
zcf,k11,authors,0,0.011293742122749436,0.0004167252457142644,30
zcf,k11,authors,10,0.015106814075261306,0.0004243768251435504,30
zcf,k11,authors,100,0.019772347124914283,0.0010973875698776525,30
zcf,k11,authors,20,0.016254261136054937,0.0004634887423216269,30
zcf,k11,authors,30,0.01713686299820737,0.0006836378539914546,30
zcf,k11,authors,40,0.01790246739983554,0.0007993025799183598,30
zcf,k11,authors,50,0.018147605222960272,0.0008272309661011769,30
zcf,k11,authors,60,0.018612396220366114,0.0007379883486108888,30
zcf,k11,authors,70,0.01890949998050924,0.0007769390156555131,30
zcf,k11,authors,80,0.01923591457307333,0.0008920045167756309,30
zcf,k11,authors,90,0.019323280205329207,0.0009631165003058716,30
zcf,k11,single,0,0.011293742122749436,0.0004167252457142644,30
zcf,k11,single,10,0.01713082135344541,0.003444264332462071,30
zcf,k11,single,100,0.05995735678200917,0.12911317258082325,30
zcf,k11,single,20,0.020557471985618227,0.005245694958721683,30
zcf,k11,single,30,0.03833545135955012,0.0707652247429462,30
zcf,k11,single,40,0.0622685423120856,0.19057197727588082,30
zcf,k11,single,50,0.030121034073332904,0.012005422918667987,30
zcf,k11,single,60,0.03291021476810172,0.03665955690431854,30
zcf,k11,single,70,0.03320220283543067,0.019221583477156124,30
zcf,k11,single,80,0.06883588780959445,0.10639651332649275,30
zcf,k11,single,90,0.053430216355870135,0.09447745311324773,30
zcf,k13,authors,0,0.011135623138397869,0.00038845112203961805,30
zcf,k13,authors,10,0.01483178601289783,0.0006315041652456768,30
zcf,k13,authors,100,0.020980733881394018,0.001599360909273078,30
zcf,k13,authors,20,0.017015369577954166,0.0011056442202948054,30
zcf,k13,authors,30,0.018295571270088302,0.001261880968739582,30
zcf,k13,authors,40,0.01927041616290803,0.0015311077572707618,30
zcf,k13,authors,50,0.01941306603451564,0.0013971152058051954,30
zcf,k13,authors,60,0.01971418553342417,0.0011229627894354327,30
zcf,k13,authors,70,0.020029775674144386,0.001449220660566563,30
zcf,k13,authors,80,0.020010884851217214,0.001489519623031261,30
zcf,k13,authors,90,0.020304060354828797,0.0015739872577707704,30
