seed,protocol,n_days,first,last,min,max,mean,std
42,continuous,25200,1253.30004883,7085.678816792849,1161.79003906,7085.678816792849,4138.334783261123,1701.5933310173698
42,independent_blocks,25200,1253.30004883,1248.8370971654688,1161.79003906,1275.92004395,1214.3511169323378,24.528508961493046
43,continuous,25200,1253.30004883,7084.461104390505,1161.79003906,7084.461104390505,4138.076536730054,1701.1562351995535
43,independent_blocks,25200,1253.30004883,1248.6670408223902,1161.79003906,1275.92004395,1214.3493740896483,24.52799322414868
44,continuous,25200,1253.30004883,7085.203770635012,1161.79003906,7085.203770635012,4138.1585245720535,1701.646306417515
44,independent_blocks,25200,1253.30004883,1248.8135843251978,1161.79003906,1275.92004395,1214.3488685174127,24.52781034274139
45,continuous,25200,1253.30004883,7084.4671726201805,1161.79003906,7084.4671726201805,4138.068558908038,1701.4666071385448
45,independent_blocks,25200,1253.30004883,1248.8481464360987,1161.79003906,1275.92004395,1214.3502508561862,24.52833900501002
46,continuous,25200,1253.30004883,7085.698858258608,1161.79003906,7085.698858258608,4138.53775355812,1701.7560546682491
46,independent_blocks,25200,1253.30004883,1248.8922290777002,1161.79003906,1275.92004395,1214.3505275994166,24.52854938447273
47,continuous,25200,1253.30004883,7084.894721982363,1161.79003906,7084.894721982363,4137.922668407265,1701.5538548507998
47,independent_blocks,25200,1253.30004883,1248.889778134707,1161.79003906,1275.92004395,1214.3508377696887,24.52836806354993
