stage,seed,protocol,ahead,baseline_mape,best_x,best_mape,best_pct_vs_baseline,final_x,final_mape,final_pct_vs_baseline,n_points
tatr_continuous_chunked,42,continuous_chunked,1,0.0632796287536621,100,0.0083777550607919,-86.76073923662666,100,0.0083777550607919,-86.76073923662666,11
tatr_independent_fixed,42,independent_fixed,1,0.0599855445325374,0,0.0599855445325374,0.0,100,0.1718271523714065,186.44759951825375,6
tatr_continuous_refit,42,continuous_cross_refit_scaler,1,0.0499506928026676,80,0.0090079344809055,-81.9663472607042,100,0.0117922211065888,-76.39227717386326,6
tatr_continuous_chunked_5ahead,42,continuous_chunked,5,0.073291577398777,60,0.0137184951454401,-81.28230332552643,100,0.0304187647998332,-58.496233974709355,6
tatr_continuous_chunked,43,continuous_chunked,1,0.0591870434582233,30,0.0095448512583971,-83.87341096850992,100,0.0265881959348917,-55.077675144123795,11
tatr_independent_fixed,43,independent_fixed,1,0.0699750706553459,0,0.0699750706553459,0.0,100,0.2600647807121277,271.6534735535268,6
tatr_continuous_refit,43,continuous_cross_refit_scaler,1,0.0631396248936653,60,0.0078892158344388,-87.50512717215982,100,0.0441141128540039,-30.13244388401522,6
tatr_continuous_chunked_5ahead,43,continuous_chunked,5,0.0874623730778694,60,0.0104877660050988,-88.00882523989905,100,0.0123462611809372,-85.88391699600344,6
tatr_continuous_chunked,44,continuous_chunked,1,0.0562041513621807,60,0.0069786636158823,-87.58336626966992,100,0.0181360971182584,-67.73174813833765,11
tatr_independent_fixed,44,independent_fixed,1,0.062442809343338,0,0.062442809343338,0.0,100,0.0855806246399879,37.054411132317945,6
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,0.0635599270462989,80,0.008486621081829,-86.64784326192336,100,0.0099680749699473,-84.31704466450023,6
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,0.0708852484822273,60,0.0125299673527479,-82.32358971572276,100,0.0185484979301691,-73.83306353956046,6
tatr_continuous_chunked,45,continuous_chunked,1,0.0605029202997684,40,0.0074742822907865,-87.64641069595594,100,0.0259599797427654,-57.0930136691852,11
tatr_independent_fixed,45,independent_fixed,1,0.0718502178788185,0,0.0718502178788185,0.0,100,0.1988658457994461,176.77834761037226,6
tatr_continuous_refit,45,continuous_cross_refit_scaler,1,0.0467657782137393,100,0.0100917415693402,-78.42067008226252,100,0.0100917415693402,-78.42067008226252,6
tatr_continuous_chunked_5ahead,45,continuous_chunked,5,0.0845075249671936,40,0.0112548964098095,-86.68178199020889,100,0.0159811563789844,-81.08907297286439,6
tatr_continuous_chunked,46,continuous_chunked,1,0.0565883554518222,30,0.012711645103991,-77.53664158907506,100,0.018030485138297,-68.13746398117601,11
tatr_independent_fixed,46,independent_fixed,1,0.0591363422572612,0,0.0591363422572612,0.0,100,0.2341657131910324,295.9759840612729,6
tatr_continuous_refit,46,continuous_cross_refit_scaler,1,0.070631705224514,60,0.0082219410687685,-88.35941870207753,100,0.0227949973195791,-67.72696164261983,6
tatr_continuous_chunked_5ahead,46,continuous_chunked,5,0.0911335200071334,60,0.0105302538722753,-88.44524619322172,100,0.0159933902323246,-82.45059531216096,6
tatr_continuous_chunked,47,continuous_chunked,1,0.0577568858861923,50,0.0082431705668568,-85.72781333276927,100,0.0251646973192691,-56.429961669236874,11
tatr_independent_fixed,47,independent_fixed,1,0.0641504675149917,0,0.0641504675149917,0.0,100,0.1868701428174972,191.2997364732009,6
tatr_continuous_refit,47,continuous_cross_refit_scaler,1,0.0838332995772361,40,0.008703582920134,-89.61798836020365,100,0.023046538233757,-72.50908845294333,6
tatr_continuous_chunked_5ahead,47,continuous_chunked,5,0.0784699693322181,40,0.0122648738324642,-84.36997753810958,100,0.0133570600301027,-82.97812507922241,6
