stage,seed,protocol,ahead,augmentation_blocks,synthetic_days,train_windows,mape,fit_seconds
tatr_continuous_chunked,42,continuous_chunked,1,0,0,1197,0.06327962875366211,9.188
tatr_continuous_chunked,42,continuous_chunked,1,10,2520,3087,0.08254668861627579,14.255
tatr_continuous_chunked,42,continuous_chunked,1,20,5040,4977,0.06188620626926422,21.039
tatr_continuous_chunked,42,continuous_chunked,1,30,7560,6867,0.009196166880428791,27.003
tatr_continuous_chunked,42,continuous_chunked,1,40,10080,8757,0.011190091259777546,34.005
tatr_continuous_chunked,42,continuous_chunked,1,50,12600,10647,0.0184866264462471,40.735
tatr_continuous_chunked,42,continuous_chunked,1,60,15120,12537,0.022025540471076965,47.829
tatr_continuous_chunked,42,continuous_chunked,1,70,17640,14427,0.012466523796319962,55.385
tatr_continuous_chunked,42,continuous_chunked,1,80,20160,16317,0.014545516110956669,63.33
tatr_continuous_chunked,42,continuous_chunked,1,90,22680,18207,0.012461205944418907,86.927
tatr_continuous_chunked,42,continuous_chunked,1,100,25200,20097,0.00837775506079197,95.108
tatr_independent_fixed,42,independent_fixed,1,0,0,1197,0.05998554453253746,8.691
tatr_independent_fixed,42,independent_fixed,1,20,5040,4977,0.15499503910541534,20.731
tatr_independent_fixed,42,independent_fixed,1,40,10080,8757,0.2077399045228958,33.67
tatr_independent_fixed,42,independent_fixed,1,60,15120,12537,0.27269089221954346,47.159
tatr_independent_fixed,42,independent_fixed,1,80,20160,16317,0.16868069767951965,63.389
tatr_independent_fixed,42,independent_fixed,1,100,25200,20097,0.17182715237140656,99.707
tatr_continuous_refit,42,continuous_cross_refit_scaler,1,0,0,1197,0.04995069280266762,8.673
tatr_continuous_refit,42,continuous_cross_refit_scaler,1,20,5040,6237,0.045878876000642776,25.062
tatr_continuous_refit,42,continuous_cross_refit_scaler,1,40,10080,11277,0.015076837502419949,42.596
tatr_continuous_refit,42,continuous_cross_refit_scaler,1,60,15120,16317,0.0125974640250206,63.3
tatr_continuous_refit,42,continuous_cross_refit_scaler,1,80,20160,21357,0.009007934480905533,105.606
tatr_continuous_refit,42,continuous_cross_refit_scaler,1,100,25200,26397,0.01179222110658884,135.761
tatr_continuous_chunked_5ahead,42,continuous_chunked,5,0,0,1197,0.07329157739877701,8.32
tatr_continuous_chunked_5ahead,42,continuous_chunked,5,20,5040,4977,0.057846494019031525,19.092
tatr_continuous_chunked_5ahead,42,continuous_chunked,5,40,10080,8757,0.015798727050423622,30.659
tatr_continuous_chunked_5ahead,42,continuous_chunked,5,60,15120,12537,0.013718495145440102,43.731
tatr_continuous_chunked_5ahead,42,continuous_chunked,5,80,20160,16317,0.016364295035600662,58.135
tatr_continuous_chunked_5ahead,42,continuous_chunked,5,100,25200,20097,0.030418764799833298,91.746
tatr_continuous_chunked,43,continuous_chunked,1,0,0,1197,0.05918704345822334,8.547
