stage,seed,protocol,synthetic_proportion_pct,train_windows,mape,fit_seconds,baseline_mape,pct_change_vs_baseline
tmtr_reference,42,tmtr_reference,0,1197,0.1525667607784271,8.916,0.1525667607784271,0.0
tmtr_reference,42,tmtr_reference,10,1134,0.1110684722661972,8.324,0.1525667607784271,-27.200084933636305
tmtr_reference,42,tmtr_reference,20,1134,0.1070337742567062,8.34,0.1525667607784271,-29.844630828761264
tmtr_reference,42,tmtr_reference,30,1134,0.0883225873112678,8.302,0.1525667607784271,-42.108892618137965
tmtr_reference,42,tmtr_reference,40,1134,0.1182794794440269,8.272,0.1525667607784271,-22.47362476561697
tmtr_reference,42,tmtr_reference,50,1134,0.2777756750583648,8.455,0.1525667607784271,82.06827859561021
tmtr_reference,42,tmtr_reference,60,1134,0.2297796010971069,8.283,0.1525667607784271,50.60921522140469
tmtr_reference,42,tmtr_reference,70,1134,0.2335331588983535,8.457,0.1525667607784271,53.06948755208482
tmtr_reference,42,tmtr_reference,80,1134,0.3290467858314514,8.255,0.1525667607784271,115.6739673521197
tmtr_reference,42,tmtr_reference,90,1134,0.5004600882530212,8.477,0.1525667607784271,228.02694748159468
tmtr_reference,42,tmtr_reference,100,1197,0.4995324313640594,8.549,0.1525667607784271,227.41891406446717
tmtr_continuous_offsets,42,tmtr_continuous_offset30,0,1197,0.1021724343299865,8.606,0.1021724343299865,0.0
tmtr_continuous_offsets,42,tmtr_continuous_offset30,10,1134,0.0547189526259899,8.332,0.1021724343299865,-46.44450532590425
tmtr_continuous_offsets,42,tmtr_continuous_offset30,20,1134,0.103650651872158,8.374,0.1021724343299865,1.4467870437512433
tmtr_continuous_offsets,42,tmtr_continuous_offset30,30,1134,0.1681388020515442,8.267,0.1021724343299865,64.56376238282235
tmtr_continuous_offsets,42,tmtr_continuous_offset30,40,1134,0.1094446629285812,8.318,0.1021724343299865,7.117603340160775
tmtr_continuous_offsets,42,tmtr_continuous_offset30,50,1134,0.1536468565464019,8.329,0.1021724343299865,50.37995086832164
tmtr_continuous_offsets,42,tmtr_continuous_offset30,60,1134,0.1452872902154922,8.298,0.1021724343299865,42.198129239299085
tmtr_continuous_offsets,42,tmtr_continuous_offset30,70,1134,0.1347112208604812,8.265,0.1021724343299865,31.84693282867679
tmtr_continuous_offsets,42,tmtr_continuous_offset30,80,1134,0.1193078830838203,8.314,0.1021724343299865,16.771107457899465
tmtr_continuous_offsets,42,tmtr_continuous_offset30,90,1134,0.0204286146908998,8.354,0.1021724343299865,-80.00574731837995
tmtr_continuous_offsets,42,tmtr_continuous_offset30,100,1197,0.0560258328914642,8.536,0.1021724343299865,-45.16541251183518
tmtr_continuous_offsets,42,tmtr_continuous_offset50,0,1197,0.038433238863945,8.609,0.038433238863945,0.0
