seed,k,l_min,l_max,max_iters,init,barycenter,runtime_sec,n_segments_real,n_segments_sisc,final_loss,min_loss,avg_per_unit_dtw,per_unit_dtw_p0,per_unit_dtw_p1,per_unit_dtw_p2,per_unit_dtw_p3,boundary_jaccard_tol0,boundary_jaccard_tol1,boundary_jaccard_tol2,boundary_jaccard_tol5,author_interval_iou_pred,author_interval_iou_real,pointwise_label_accuracy,per_segment_majority_accuracy,alignment_gt_to_sisc,distance_matrix
0,4,10,20,10,kmeans++,dba,127.662,668,768,352.7583759100978,352.7583759100978,0.03759219244878727,0.021775940333652103,0.033551480330554065,0.02518006948562812,0.06986127964531479,0.1087124132613724,0.19633943427620631,0.3192660550458716,0.634090909090909,0.6160686251096833,0.6564059242709905,0.5152637373636273,0.6077844311377245,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 0}","[[0.08903158527734895, 0.06140373679231822, 0.12148052135946723, 0.021775940333652103], [0.0858998740910791, 0.033551480330554065, 0.08272575825371609, 0.06771703134036645], [0.05888078257815985, 0.08277201832582044, 0.02518006948562812, 0.09739277301836222], [0.06986127964531479, 0.0673747288877986, 0.0908734978207356, 0.04279360295659901]]"
1,4,10,20,10,kmeans++,dba,124.903,668,744,376.3078787715467,357.52503880116194,0.039350433634904945,0.0226281655067653,0.03171202944240787,0.03164743857424139,0.07141410101620523,0.11602209944751381,0.2263660017346054,0.3570057581573896,0.6271576524741082,0.6405495801826103,0.6730520568055576,0.5377301841473179,0.6302395209580839,"{""0"": 0, ""1"": 1, ""2"": 3, ""3"": 2}","[[0.0226281655067653, 0.06317190267426495, 0.0881623044496581, 0.11222421720042308], [0.06904738658071116, 0.03171202944240787, 0.08069533893360044, 0.07628191899426645], [0.09699866875436802, 0.0772541485945327, 0.05796780032160476, 0.03164743857424139], [0.04370109925818858, 0.07448460466013593, 0.07141410101620523, 0.08684098679769701]]"
2,4,10,20,10,kmeans++,dba,128.791,668,765,381.3910386790228,348.8992267297337,0.04015427083038574,0.021870257415400426,0.034259569670798615,0.03350568892727727,0.07098156730806665,0.09458428680396644,0.183993399339934,0.30454545454545456,0.6051454138702461,0.6025298727273373,0.6379624559651866,0.48539707941588317,0.5733532934131736,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 3}","[[0.10134675700391804, 0.021870257415400426, 0.06309267250665641, 0.09232876082219824], [0.06705349066352365, 0.07059626227454306, 0.034259569670798615, 0.08765431258547617], [0.03350568892727727, 0.10087987878864227, 0.0889832606265939, 0.06351042909034284], [0.08770704205593315, 0.04303164949240994, 0.0679695297498446, 0.07098156730806665]]"
3,4,10,20,10,kmeans++,dba,122.006,668,706,362.68456710237444,362.68456710237444,0.037117874674167425,0.01948542265754564,0.03253159537988312,0.0228392035405918,0.07361527711864913,0.08091123330714847,0.1260229132569558,0.24075743913435527,0.6538461538461539,0.6126468120414228,0.6313342888573907,0.44824482448244823,0.5344311377245509,"{""0"": 0, ""1"": 2, ""2"": 3, ""3"": 1}","[[0.01948542265754564, 0.09530669057685369, 0.04882551439380505, 0.118429862494463], [0.06811158957861266, 0.07997759402464676, 0.03253159537988312, 0.06573713760388891], [0.1034064024828564, 0.04717349999638982, 0.07121575299702601, 0.0228392035405918], [0.03988898982597849, 0.07361527711864913, 0.05870694734618522, 0.08470018435889634]]"
4,4,10,20,10,kmeans++,dba,120.851,668,709,387.3602118244687,387.3602118244687,0.032140730852168786,0.020367039383659764,0.022531049131523442,0.030695931136370376,0.05496890375712156,0.048669201520912544,0.09968102073365231,0.20647419072615922,0.679658952496955,0.5948493619279063,0.6125829098352936,0.42464246424642466,0.48502994011976047,"{""0"": 2, ""1"": 0, ""2"": 1, ""3"": 3}","[[0.0625057569838684, 0.1083164141013584, 0.020367039383659764, 0.04821540467959038], [0.022531049131523442, 0.07550925276695677, 0.06725634478650791, 0.036458310096262936], [0.0749992643208682, 0.030695931136370376, 0.10074073699432258, 0.06781845065652962], [0.06667292882424149, 0.08458345339221968, 0.042491674615446964, 0.05496890375712156]]"
5,4,10,20,10,kmeans++,dba,131.581,668,724,383.5816338567853,368.2060294674817,0.036300185798536576,0.023679992589238575,0.035027202653131626,0.027439117748281394,0.05905443020349471,0.08651597817614964,0.16652719665271967,0.283609576427256,0.723114956736712,0.6363721036902853,0.6641984693296352,0.4726363181590795,0.5284431137724551,"{""0"": 1, ""1"": 0, ""2"": 3, ""3"": 2}","[[0.0620796227824585, 0.023679992589238575, 0.04903457307678555, 0.11226763164587897], [0.035027202653131626, 0.06686759055009342, 0.03358863222812051, 0.08057634539747537], [0.08562032099008936, 0.09961999969326608, 0.06366710068655422, 0.027439117748281394], [0.07359605406736894, 0.04148415106299445, 0.05905443020349471, 0.08621224739620972]]"
6,4,10,20,10,kmeans++,dba,134.38,668,736,399.42288057996234,381.44070382052445,0.03715439548596493,0.025766753175031153,0.030304970814174083,0.036844314539292294,0.055701543415362174,0.08153846153846153,0.16777408637873753,0.30790697674418605,0.7125456760048721,0.6331944014941008,0.6657014258419038,0.487943971985993,0.5494011976047904,"{""0"": 3, ""1"": 0, ""2"": 1, ""3"": 2}","[[0.06515588373164474, 0.09886148707117931, 0.04754558403255399, 0.025766753175031153], [0.030304970814174083, 0.06449205561078415, 0.030397569124153652, 0.06594422131750181], [0.07405054383240695, 0.036844314539292294, 0.06297933707371468, 0.09825817995508364], [0.07786111657155881, 0.0856800992599033, 0.055701543415362174, 0.04158732667083696]]"
7,4,10,20,10,kmeans++,dba,134.567,668,756,373.8976478345345,373.8976478345345,0.03634817112240743,0.01828378923769292,0.03230781782022631,0.027917577765038882,0.06688349966667159,0.1201885310290652,0.19831932773109243,0.3465533522190746,0.6697892271662763,0.635032686573743,0.6725065834172357,0.5382691345672836,0.6332335329341318,"{""0"": 1, ""1"": 0, ""2"": 3, ""3"": 2}","[[0.0670801748376494, 0.01828378923769292, 0.07859880794281317, 0.11601767847969777], [0.03230781782022631, 0.06929047883416947, 0.0770058451186599, 0.07622084965374512], [0.06423719485563331, 0.09556103909990765, 0.06309699336284862, 0.027917577765038882], [0.08074106202884554, 0.04725359140142798, 0.06688349966667159, 0.0898885415181886]]"
8,4,10,20,10,kmeans++,dba,128.911,668,748,402.1083902689944,370.4024317779499,0.032579812032932975,0.021817260209822074,0.03147899741533398,0.03250372042450188,0.044519270082073965,0.06857573474001508,0.1566068515497553,0.2820976491862568,0.6623681125439624,0.6053587479402834,0.6385376148477857,0.4912456228114057,0.5823353293413174,"{""0"": 2, ""1"": 0, ""2"": 3, ""3"": 1}","[[0.058385430765545886, 0.03280534601481491, 0.021817260209822074, 0.10688125328577258], [0.03147899741533398, 0.044609831768771965, 0.06666917719413304, 0.07332736731391809], [0.07270819453993747, 0.07992850480523993, 0.0976571959394674, 0.03250372042450188], [0.069943544049311, 0.044519270082073965, 0.04368152407705637, 0.08841240478716637]]"
9,4,10,20,10,kmeans++,dba,131.363,668,716,379.1432619301926,379.1432619301926,0.034037646028649525,0.0190514572240371,0.03239920726413635,0.032762405889243465,0.05193751373718118,0.07027027027027027,0.1342062193126023,0.27389705882352944,0.7174721189591078,0.6224028199506337,0.6454221538954908,0.48138138138138137,0.5374251497005988,"{""0"": 0, ""1"": 2, ""2"": 3, ""3"": 1}","[[0.0190514572240371, 0.04398756768536575, 0.057854888569924136, 0.1088171592416032], [0.06757231409212557, 0.03609394479384526, 0.03239920726413635, 0.07695662190760341], [0.10141358018433402, 0.06536872812267133, 0.08942155505259931, 0.032762405889243465], [0.041876217927224284, 0.05193751373718118, 0.06593685937921838, 0.08489965281141863]]"
