seed,sample_id,family,persistence,n_obs,pooled_delta,acf_r_lag1,acf_abs_r_lag1,signed_stylized_distance,magnitude_path_distance
0,real_eval,real,,1000,0.1707801563976083,0.043022230571577696,0.10466730590703881,0.0,0.0
0,iid_signs,iid_signs,,1000,0.12615007029653183,-0.03471877686573005,0.10466730590703881,0.33932037194573156,0.0
0,markov_signs_p0.55,markov_signs,0.55,1000,0.1189372276225123,0.035438437151435916,0.10466730590703881,0.38673046762947555,0.0
0,markov_signs_p0.65,markov_signs,0.65,1000,0.4204046980951943,0.17357747520589167,0.10466730590703881,0.3082241785705549,0.0
0,markov_signs_p0.75,markov_signs,0.75,1000,0.5743007587879234,0.24459324038752855,0.10466730590703881,0.19241224242866994,0.0
0,markov_signs_p0.85,markov_signs,0.85,1000,1.0767778425945946,0.3879842855964691,0.10466730590703881,0.18271761348163407,0.0
0,markov_signs_p0.90,markov_signs,0.9,1000,1.2688738202916943,0.430158664798264,0.10466730590703881,0.7937250221086054,0.0
1,real_eval,real,,1000,0.05765655778370851,-0.027485721646338633,0.2046085250775906,0.0,0.0
1,iid_signs,iid_signs,,1000,0.08753807144757722,-0.01041214653741784,0.2046085250775906,0.9241910025816809,0.0
1,markov_signs_p0.55,markov_signs,0.55,1000,0.11991699068169957,0.11502430250387179,0.2046085250775906,1.1180892674668634,0.0
1,markov_signs_p0.65,markov_signs,0.65,1000,0.2721056668958829,0.23898215151244037,0.2046085250775906,2.0784528238417193,0.0
1,markov_signs_p0.75,markov_signs,0.75,1000,0.24287375781767426,0.20168164280024656,0.2046085250775906,0.9705013639815995,0.0
1,markov_signs_p0.85,markov_signs,0.85,1000,0.5386477080679133,0.46623534143929724,0.2046085250775906,2.331431769308029,0.0
1,markov_signs_p0.90,markov_signs,0.9,1000,0.6333222910196538,0.5224039322851142,0.2046085250775906,2.4106188381839817,0.0
2,real_eval,real,,1000,0.11178853819918609,0.006404742168986556,0.11431692290613794,0.0,0.0
2,iid_signs,iid_signs,,1000,0.1201498454962614,-0.0063123835255837184,0.11431692290613794,0.672186338052342,0.0
2,markov_signs_p0.55,markov_signs,0.55,1000,0.15455797480990688,0.10494477371938957,0.11431692290613794,0.7992673063171434,0.0
2,markov_signs_p0.65,markov_signs,0.65,1000,0.23282192392058546,0.16060322659981338,0.11431692290613794,1.248543232180063,0.0
2,markov_signs_p0.75,markov_signs,0.75,1000,0.43853732276106133,0.277724239526605,0.11431692290613794,0.38121707750865463,0.0
2,markov_signs_p0.85,markov_signs,0.85,1000,0.6339453628643259,0.40970592747875373,0.11431692290613794,0.6190281967406691,0.0
2,markov_signs_p0.90,markov_signs,0.9,1000,0.8351171174155241,0.4865412618486242,0.11431692290613794,0.5694877393573253,0.0
3,real_eval,real,,1000,0.20759120144721463,0.0952181866461713,0.33714584924359176,0.0,0.0
3,iid_signs,iid_signs,,1000,0.11930520008223025,0.04331028865790467,0.33714584924359176,0.7420517308315309,0.0
3,markov_signs_p0.55,markov_signs,0.55,1000,0.13369464092886282,0.05342402502778928,0.33714584924359176,0.6210644001379113,0.0
3,markov_signs_p0.65,markov_signs,0.65,1000,0.06836838106705254,-0.011363237726340373,0.33714584924359176,0.47729694226440117,0.0
3,markov_signs_p0.75,markov_signs,0.75,1000,0.4231630550995215,0.24654440265682323,0.33714584924359176,0.7962060351242155,0.0
3,markov_signs_p0.85,markov_signs,0.85,1000,0.9019039600926998,0.464624269494386,0.33714584924359176,0.2852159207440242,0.0
3,markov_signs_p0.90,markov_signs,0.9,1000,1.068283910576579,0.5212259395055138,0.33714584924359176,0.8018196559307436,0.0
4,real_eval,real,,1000,0.5685226283209696,-0.15008037284999332,0.3846118050216271,0.0,0.0
