synthetic_proportion_pct,avg,min,max
0,1.74335777759552,1.74335777759552,2.143019437789917
10,1.4771654605865479,1.4771654605865479,1.7777005434036255
20,1.3947800397872925,1.3947800397872925,1.483319878578186
30,1.2346575260162354,1.2346575260162354,1.391270399093628
40,1.1407586336135864,1.1407586336135864,1.2893688678741455
50,1.0857752561569214,1.0857752561569214,1.1064698696136475
60,1.0589402914047241,1.0589402914047241,1.1367812156677246
70,1.3494499921798706,1.3494499921798706,1.5757722854614258
80,1.1276198625564575,1.1276198625564575,1.2976104021072388
90,1.2831361293792725,1.2831361293792725,1.389811635017395
100,1.259616732597351,1.259616732597351,1.3672810792922974
