protocol,augmentation_blocks,synthetic_days,train_windows,mape,fit_seconds,pct_change_vs_no_aug
continuous_cross,0,0,1197,0.06524324417114258,9.157,0.0
continuous_cross,10,2520,3654,0.12163597345352173,16.272,86.43458797734333
continuous_cross,30,7560,8694,0.011857163161039352,33.253,-81.82622076557647
continuous_cross,50,12600,13734,0.010759634897112846,52.026,-83.50843059108351
continuous_cross,70,17640,18774,0.009149031713604927,95.529,-85.97704355472318
continuous_cross,100,25200,26334,0.0153513727709651,151.312,-76.47055573953956
continuous_chunked,0,0,1197,0.05297374725341797,8.768,0.0
continuous_chunked,10,2520,3087,0.1025722399353981,14.262,93.62843909212019
continuous_chunked,30,7560,6867,0.01864388957619667,26.877,-64.80541675292996
continuous_chunked,50,12600,10647,0.010755302384495735,40.769,-79.69691981002575
continuous_chunked,70,17640,14427,0.014756518416106701,55.212,-72.14371423355446
continuous_chunked,100,25200,20097,0.009921649470925331,94.969,-81.27062934879471
independent_fixed,0,0,1197,0.056540705263614655,8.758,0.0
independent_fixed,10,2520,3087,0.09645193070173264,14.256,70.58848178853872
independent_fixed,30,7560,6867,0.19036737084388733,26.866,236.69083177565784
independent_fixed,50,12600,10647,0.1256800889968872,40.567,122.2824926058456
independent_fixed,70,17640,14427,0.2347376048564911,55.372,315.1656824265872
independent_fixed,100,25200,20097,0.11111070215702057,96.75,96.51453167939711
continuous_cross_refit_scaler,0,0,1197,0.06487768888473511,8.864,0.0
continuous_cross_refit_scaler,10,2520,3717,0.10945035517215729,16.126,68.70261110350613
continuous_cross_refit_scaler,30,7560,8757,0.020259341225028038,33.443,-68.7730226318299
continuous_cross_refit_scaler,50,12600,13797,0.00976230576634407,53.409,-84.95275350561845
continuous_cross_refit_scaler,70,17640,18837,0.009298132732510567,90.227,-85.66821215066695
continuous_cross_refit_scaler,100,25200,26397,0.009467624127864838,143.979,-85.40696456576083
