seed,protocol,augmentation_blocks,synthetic_days,train_windows,mape,fit_seconds
42,continuous_chunked,0,0,1197,0.06973497569561005,11.434
42,continuous_chunked,30,7560,6867,0.010433541610836983,36.297
42,continuous_chunked,50,12600,10647,0.010637253522872925,56.082
42,continuous_chunked,70,17640,14427,0.013244411908090115,81.521
42,continuous_chunked,100,25200,20097,0.016478458419442177,138.92
42,independent_fixed,0,0,1197,0.07654744386672974,12.775
42,independent_fixed,30,7560,6867,0.08857126533985138,41.586
42,independent_fixed,50,12600,10647,0.16643959283828735,57.586
42,independent_fixed,70,17640,14427,0.18047493696212769,63.47
42,independent_fixed,100,25200,20097,0.16120585799217224,125.093
42,continuous_cross_refit_scaler,0,0,1197,0.07373575866222382,9.535
42,continuous_cross_refit_scaler,30,7560,8757,0.00991315022110939,38.456
42,continuous_cross_refit_scaler,50,12600,13797,0.012288265861570835,59.944
42,continuous_cross_refit_scaler,70,17640,18837,0.013239012099802494,103.228
42,continuous_cross_refit_scaler,100,25200,26397,0.0277054775506258,156.678
43,continuous_chunked,0,0,1197,0.0559794157743454,12.874
43,continuous_chunked,30,7560,6867,0.009999447502195835,32.766
43,continuous_chunked,50,12600,10647,0.008784554898738861,47.593
43,continuous_chunked,70,17640,14427,0.01282944530248642,64.893
43,continuous_chunked,100,25200,20097,0.020187756046652794,114.306
43,independent_fixed,0,0,1197,0.06299641728401184,9.901
43,independent_fixed,30,7560,6867,0.12813273072242737,33.281
43,independent_fixed,50,12600,10647,0.1540694236755371,64.994
43,independent_fixed,70,17640,14427,0.20566192269325256,87.725
43,independent_fixed,100,25200,20097,0.16609057784080505,119.657
43,continuous_cross_refit_scaler,0,0,1197,0.04733767732977867,10.098
43,continuous_cross_refit_scaler,30,7560,8757,0.02641892060637474,39.119
43,continuous_cross_refit_scaler,50,12600,13797,0.02416900359094143,68.742
43,continuous_cross_refit_scaler,70,17640,18837,0.019895492121577263,138.935
43,continuous_cross_refit_scaler,100,25200,26397,0.01697663590312004,202.124
