seed,protocol,augmentation_blocks,synthetic_days,train_windows,mape,fit_seconds,baseline_mape,pct_change_vs_no_aug
42,continuous_chunked,0,0,1197,0.06973497569561,11.434,0.06973497569561,0.0
42,continuous_chunked,30,7560,6867,0.0104335416108369,36.297,0.06973497569561,-85.0382946193617
42,continuous_chunked,50,12600,10647,0.0106372535228729,56.082,0.06973497569561,-84.7461716064776
42,continuous_chunked,70,17640,14427,0.0132444119080901,81.521,0.06973497569561,-81.00750480519079
42,continuous_chunked,100,25200,20097,0.0164784584194421,138.92,0.06973497569561,-76.3698800278216
42,independent_fixed,0,0,1197,0.0765474438667297,12.775,0.0765474438667297,0.0
42,independent_fixed,30,7560,6867,0.0885712653398513,41.586,0.0765474438667297,15.707672086419064
42,independent_fixed,50,12600,10647,0.1664395928382873,57.586,0.0765474438667297,117.43324718727546
42,independent_fixed,70,17640,14427,0.1804749369621276,63.47,0.0765474438667297,135.76873092762875
42,independent_fixed,100,25200,20097,0.1612058579921722,125.093,0.0765474438667297,110.59600405839045
42,continuous_cross_refit_scaler,0,0,1197,0.0737357586622238,9.535,0.0737357586622238,0.0
42,continuous_cross_refit_scaler,30,7560,8757,0.0099131502211093,38.456,0.0737357586622238,-86.55584427289824
42,continuous_cross_refit_scaler,50,12600,13797,0.0122882658615708,59.944,0.0737357586622238,-83.33472648208297
42,continuous_cross_refit_scaler,70,17640,18837,0.0132390120998024,103.228,0.0737357586622238,-82.04533005424275
42,continuous_cross_refit_scaler,100,25200,26397,0.0277054775506258,156.678,0.0737357586622238,-62.42599513006729
43,continuous_chunked,0,0,1197,0.0559794157743454,12.874,0.0559794157743454,0.0
43,continuous_chunked,30,7560,6867,0.0099994475021958,32.766,0.0559794157743454,-82.1372778478006
43,continuous_chunked,50,12600,10647,0.0087845548987388,47.593,0.0559794157743454,-84.30752665560215
43,continuous_chunked,70,17640,14427,0.0128294453024864,64.893,0.0559794157743454,-77.08185209684528
43,continuous_chunked,100,25200,20097,0.0201877560466527,114.306,0.0559794157743454,-63.937179823329856
43,independent_fixed,0,0,1197,0.0629964172840118,9.901,0.0629964172840118,0.0
43,independent_fixed,30,7560,6867,0.1281327307224273,33.281,0.0629964172840118,103.39685373654861
43,independent_fixed,50,12600,10647,0.1540694236755371,64.994,0.0629964172840118,144.568549003245
43,independent_fixed,70,17640,14427,0.2056619226932525,87.725,0.0629964172840118,226.46606197627142
43,independent_fixed,100,25200,20097,0.166090577840805,119.657,0.0629964172840118,163.65083127188888
43,continuous_cross_refit_scaler,0,0,1197,0.0473376773297786,10.098,0.0473376773297786,0.0
43,continuous_cross_refit_scaler,30,7560,8757,0.0264189206063747,39.119,0.0473376773297786,-44.1905008935548
43,continuous_cross_refit_scaler,50,12600,13797,0.0241690035909414,68.742,0.0473376773297786,-48.9434105045592
43,continuous_cross_refit_scaler,70,17640,18837,0.0198954921215772,138.935,0.0473376773297786,-57.97112734751438
43,continuous_cross_refit_scaler,100,25200,26397,0.01697663590312,202.124,0.0473376773297786,-64.13715910721174
