stage,seed,protocol,ahead,augmentation_blocks,synthetic_days,train_windows,mape,fit_seconds,baseline_mape,pct_change_vs_baseline
tatr_continuous_chunked,42,continuous_chunked,1,0,0,1197,0.0632796287536621,9.188,0.0632796287536621,0.0
tatr_continuous_chunked,42,continuous_chunked,1,10,2520,3087,0.0825466886162757,14.255,0.0632796287536621,30.44749193712454
tatr_continuous_chunked,42,continuous_chunked,1,20,5040,4977,0.0618862062692642,21.039,0.0632796287536621,-2.202007995056791
tatr_continuous_chunked,42,continuous_chunked,1,30,7560,6867,0.0091961668804287,27.003,0.0632796287536621,-85.46741334999298
tatr_continuous_chunked,42,continuous_chunked,1,40,10080,8757,0.0111900912597775,34.005,0.0632796287536621,-82.31643977663204
tatr_continuous_chunked,42,continuous_chunked,1,50,12600,10647,0.0184866264462471,40.735,0.0632796287536621,-70.78581715734663
tatr_continuous_chunked,42,continuous_chunked,1,60,15120,12537,0.0220255404710769,47.829,0.0632796287536621,-65.19331591400615
tatr_continuous_chunked,42,continuous_chunked,1,70,17640,14427,0.0124665237963199,55.385,0.0632796287536621,-80.29930952210518
tatr_continuous_chunked,42,continuous_chunked,1,80,20160,16317,0.0145455161109566,63.33,0.0632796287536621,-77.01390416245951
tatr_continuous_chunked,42,continuous_chunked,1,90,22680,18207,0.0124612059444189,86.927,0.0632796287536621,-80.30771325645972
tatr_continuous_chunked,42,continuous_chunked,1,100,25200,20097,0.0083777550607919,95.108,0.0632796287536621,-86.76073923662666
tatr_independent_fixed,42,independent_fixed,1,0,0,1197,0.0599855445325374,8.691,0.0599855445325374,0.0
tatr_independent_fixed,42,independent_fixed,1,20,5040,4977,0.1549950391054153,20.731,0.0599855445325374,158.3873169999195
tatr_independent_fixed,42,independent_fixed,1,40,10080,8757,0.2077399045228958,33.67,0.0599855445325374,246.31661034637
tatr_independent_fixed,42,independent_fixed,1,60,15120,12537,0.2726908922195434,47.159,0.0599855445325374,354.594343261534
tatr_independent_fixed,42,independent_fixed,1,80,20160,16317,0.1686806976795196,63.389,0.0599855445325374,181.20224463082718
tatr_independent_fixed,42,independent_fixed,1,100,25200,20097,0.1718271523714065,99.707,0.0599855445325374,186.44759951825375
