augmentation_blocks,synthetic_days,avg,min,max
0,0,0.0660485923290252,0.0660485923290252,0.0660485923290252
10,2520,0.0985462889075279,0.0985462889075279,0.0985462889075279
20,5040,0.0633231252431869,0.0633231252431869,0.0633231252431869
30,7560,0.0105477133765816,0.0105477133765816,0.0105477133765816
40,10080,0.0134678808972239,0.0134678808972239,0.0134678808972239
50,12600,0.0068487641401588,0.0068487641401588,0.0068487641401588
60,15120,0.0083340825513005,0.0083340825513005,0.0083340825513005
70,17640,0.0245065540075302,0.0245065540075302,0.0245065540075302
80,20160,0.0213791839778423,0.0213791839778423,0.0213791839778423
90,22680,0.0103246951475739,0.0103246951475739,0.0103246951475739
100,25200,0.0191099364310503,0.0191099364310503,0.0191099364310503
