augmentation_blocks,synthetic_days,avg,min,max,pct_change_vs_no_aug
0,0,0.0660485923290252,0.0660485923290252,0.0660485923290252,0.0
10,2520,0.0985462889075279,0.0985462889075279,0.0985462889075279,49.20270884292792
20,5040,0.0633231252431869,0.0633231252431869,0.0633231252431869,-4.1264574909654685
30,7560,0.0105477133765816,0.0105477133765816,0.0105477133765816,-84.03037369208793
40,10080,0.0134678808972239,0.0134678808972239,0.0134678808972239,-79.60913257600888
50,12600,0.0068487641401588,0.0068487641401588,0.0068487641401588,-89.63071899240298
60,15120,0.0083340825513005,0.0083340825513005,0.0083340825513005,-87.38189224414694
70,17640,0.0245065540075302,0.0245065540075302,0.0245065540075302,-62.896175159268694
80,20160,0.0213791839778423,0.0213791839778423,0.0213791839778423,-67.63112850105789
90,22680,0.0103246951475739,0.0103246951475739,0.0103246951475739,-84.368031499989
100,25200,0.0191099364310503,0.0191099364310503,0.0191099364310503,-71.0668528167066
