eval_year,avg,min,max,n_runs
0,0.011849334164123397,0.0109559278935194,0.0131466956809163,30
10,0.020326260942965683,0.0157075710594654,0.032599426805973,30
20,0.03536851491246901,0.0185576602816581,0.0824173912405967,30
30,0.04365809714155533,0.0201187338680028,0.1408079117536544,30
40,0.06810106556596497,0.0219958461821079,0.2196960151195526,30
50,0.07656843015657999,0.0243284218013286,0.2070120573043823,30
60,0.09264480721737654,0.0346481055021286,0.2670557200908661,30
70,0.12087613091404946,0.0296012200415134,0.3069270551204681,30
80,0.12024160580975665,0.0323788560926914,0.2813571989536285,30
90,0.1279783359329615,0.0414858758449554,0.2857986390590668,30
100,0.12817689270845478,0.0466111674904823,0.2883840799331665,30
