eval_year,avg,min,max,n_runs
0,0.06129481563610687,0.0470167994499206,0.0809758752584457,30
10,0.08461941273084705,0.052835863083601,0.1328178495168686,30
20,0.10209637587623933,0.0704331547021865,0.2311706691980362,30
30,0.1174347288906574,0.095022477209568,0.1787427365779876,30
40,0.1347836282636438,0.0863192602992057,0.227893978357315,30
50,0.139881357550621,0.0882918238639831,0.2624775469303131,30
60,0.1458176015211003,0.0936601758003234,0.2465529143810272,30
70,0.15592459615852147,0.0950345546007156,0.2556365430355072,30
80,0.1600837255162852,0.0902294144034385,0.2515290975570678,30
90,0.1903635883437735,0.1237616166472435,0.3447778224945068,30
100,0.18913040922156402,0.1000652536749839,0.2876102924346924,30
