eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.061145675430695184,0.010427900783258025,0.057347887124245336,0.06479251236965256,30
10,0.0945694543421268,0.01680201413206864,0.08882284927492337,0.10078830820197857,30
20,0.09744892877837019,0.01676999524453104,0.09123508216813205,0.10323264560972648,30
30,0.09518541780610876,0.01628582687276118,0.08940275104716418,0.10092517901211974,30
40,0.09785614758729931,0.015241527314910595,0.09233332137266792,0.10334305434798198,30
50,0.09742629453539846,0.015429615800861673,0.09197729976226883,0.10290793363625801,30
60,0.0962990728517373,0.012800455392172875,0.09176715033749737,0.10082612084845698,30
70,0.10165289044380185,0.016001291959980356,0.09600749284649886,0.10735790455713864,30
80,0.10184342736999191,0.011389333829065483,0.09782723623017468,0.1058780299996336,30
90,0.09865828653176623,0.012088978629770873,0.0943285271649559,0.10310166058441,30
100,0.10282620588938392,0.014726584083865103,0.09770961619913576,0.10813828555867071,30
