eval_year,avg,min,max,n_runs
0,0.061792409712714776,0.0470551513135433,0.0822018831968307,30
10,0.08960775352482282,0.0505827330052852,0.1361764073371887,30
20,0.05476702177631,0.0367127284407615,0.0812050923705101,30
30,0.01588389264153577,0.0100383032113313,0.039039772003889,30
40,0.014562449368116005,0.0076724872924387,0.0373615138232708,30
50,0.014752853345791087,0.0071598389185965,0.0369083136320114,30
60,0.013502106702487318,0.0067954002879559,0.0312434006482362,30
70,0.01630828065598112,0.0066728424280881,0.0312597937881946,30
80,0.014469309743227647,0.007775136269629,0.0345815978944301,30
90,0.016856993648356577,0.0087513104081153,0.0467354096472263,30
100,0.016489548142999372,0.0085290418937802,0.047836922109127,30
