eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.06382323739429312,0.012852720322727478,0.05922110179749625,0.06835078219883141,30
10,0.08178857987125712,0.017405339972334465,0.07585789261696235,0.08827310505943992,30
20,0.09785697509845095,0.01584787113386261,0.09225238364810742,0.10348282785465317,30
30,0.11789455289642013,0.026015320472797886,0.10899667336295046,0.1273615888195733,30
40,0.13074623122811313,0.039837958891336796,0.11707582415391996,0.1454677203918496,30
50,0.1332795185347398,0.04470725861463372,0.11797342334563529,0.14994221591080226,30
60,0.14806335767110185,0.04589246426598969,0.13261568627630668,0.16403033060332137,30
70,0.14895326830446717,0.04282513290115679,0.13399403821056086,0.16452986336002745,30
80,0.15424303760131197,0.05231722095859458,0.13612702314431466,0.17355151623487466,30
90,0.16421317309141154,0.052271944750276085,0.1457007119307915,0.18311585275456305,30
100,0.17549208092192803,0.07228504362971214,0.1493407842951516,0.2022349437046796,30
