eval_year,avg,min,max,n_runs
0,0.06394906940736937,0.03668724745512,0.087976798415184,30
10,0.08122076173978188,0.0554013438522815,0.1259705275297165,30
20,0.09729884777750285,0.073659099638462,0.1399109959602356,30
30,0.11717095199440204,0.083654299378395,0.1886337250471115,30
40,0.12935626453586985,0.0825518667697906,0.2243037819862365,30
50,0.1317316881780113,0.0723302960395813,0.2426542937755584,30
60,0.14722514604883533,0.0839839652180671,0.2364750504493713,30
70,0.14851998537778852,0.0683970376849174,0.2554901242256164,30
80,0.15378795165036402,0.0833606347441673,0.2472758740186691,30
90,0.1636043097823858,0.0992624089121818,0.2597337365150451,30
100,0.17243035377136293,0.0650385469198226,0.3744977712631225,30
