n_runs,mean_y0,mean_y10,mean_y20,mean_y30,mean_y40,mean_y50,mean_y60,mean_y70,mean_y80,mean_y90,mean_y100
1,0.03668726608157158,0.048286449164152145,0.03302810341119766,0.07406433671712875,0.07110008597373962,0.022773852571845055,0.5586386919021606,0.11129661649465561,0.12356459349393845,0.009153169579803944,0.9185141921043396
2,0.04925776645541191,0.052893031388521194,0.027074994519352913,0.07910174503922462,0.17827783524990082,0.2395480377599597,0.3135397434234619,0.2548684887588024,0.3216087780892849,0.2468049586750567,0.6307373344898224
3,0.058510454992453255,0.061455013851324715,0.11349375173449516,0.0809115618467331,0.13491062571605048,0.3192398219058911,0.2274487999578317,0.3541242356101672,0.4903285279870033,0.49843967364480096,0.5195313592751821
4,0.058540075086057186,0.0518872938118875,0.09354008361697197,0.0754607506096363,0.16339112259447575,0.41580343758687377,0.18157425429672003,0.2914906032383442,0.5610147546976805,0.37884027580730617,0.47223756462335587
5,0.059906264394521715,0.04771051965653896,0.08373710438609124,0.09490437805652618,0.1716469034552574,0.4666711252182722,0.2859617583453655,0.2464063972234726,0.5672999247908592,0.3394973849877715,0.6198070108890533
6,0.05861592603226503,0.04637487760434548,0.07278936449438334,0.0856009063621362,0.1540281002720197,0.4650542223826051,0.28328854280213517,0.21209914796054363,0.5378233330945174,0.2973291543312371,0.5297921647628149
7,0.06202906210507665,0.04374588280916214,0.06372873112559319,0.09285747898476464,0.15609680541924068,0.4524486903101206,0.2949438174920423,0.19175902913723672,0.5517704178180013,0.2821828141542418,0.5894290677138737
8,0.06085325079038739,0.04100889293476939,0.05814822553656995,0.0861355154775083,0.14727352280169725,0.4781704831402749,0.298328313510865,0.17297721561044455,0.5026831878349185,0.30799868085887283,0.574429526925087
9,0.06257923319935799,0.04048340436485079,0.05633190833032131,0.07917772088613775,0.153364064792792,0.46265688435071045,0.29765067125360173,0.21456796510352028,0.5163721798194779,0.27889351081103086,0.6059605810377333
10,0.06214617490768433,0.043892499059438705,0.052195125725120306,0.08847516048699618,0.1515724055469036,0.4205463083460927,0.3059738513082266,0.23576925322413445,0.47125615999102594,0.3044152858667076,0.5607533618807793
11,0.06235337866978212,0.041367667811838066,0.05047112694856795,0.11009544286538255,0.14726834608749909,0.3923076047477397,0.28936209563504567,0.22070031613111496,0.43665559454397723,0.3209396603263237,0.5725448768247258
12,0.06315386667847633,0.04659072138989965,0.051132430244858064,0.12149511293197672,0.1401609219610691,0.3621370787732303,0.2911448140318195,0.27340069723625976,0.41212092712521553,0.3549294722421716,0.5363094036777815
13,0.06353117468265387,0.04496055239668259,0.04817930709284086,0.13498429166009793,0.17449436623316544,0.33602162909049255,0.29113594700510687,0.30169894431646055,0.4592212610519849,0.3284998324054938,0.5827994002745702
14,0.06431098708084651,0.049979440601808686,0.04715310556015798,0.1447243159636855,0.16525052461240972,0.31627369379358633,0.3271744621119329,0.3409210853278637,0.43578157254627775,0.3803325652011803,0.5439671916621072
15,0.0644125963250796,0.047537254417936006,0.04532020886739095,0.13750235574940842,0.18775166844328245,0.31565671786665916,0.3383557565510273,0.3602390473087629,0.41112959335247673,0.3598040908575058,0.5301878392696381
16,0.06416745018213987,0.047910530935041606,0.04847321566194296,0.14959737786557525,0.21246617822907865,0.3257372232619673,0.3234791613649577,0.36102018551900983,0.38847759435884655,0.35531229618936777,0.5027505434118211
17,0.06549726952524747,0.0486354202251224,0.047356261816971446,0.14501265688415835,0.22144985527676694,0.31577709689736366,0.3094277055386235,0.36102309165632024,0.3677989961031605,0.33772943081224666,0.5240901160766097
18,0.06674613348311847,0.047520651378565364,0.04787583721594678,0.13784652958727545,0.21157974522146913,0.3100533893124925,0.29419482747713727,0.34153169124490684,0.3749838585240973,0.35479379817843437,0.5006054722600513
19,0.06513562092655584,0.0465886466401188,0.048369218154173145,0.13654822160146737,0.20799954412014862,0.3015827773825118,0.30549270228335734,0.355927903989428,0.3588501267919415,0.37460493217957647,0.5387476761090128
