eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.06367958684762315,0.01284025432837699,0.05908725763981538,0.06820565162226554,30
10,0.08535488769412038,0.011734478623566554,0.08123012759412325,0.08959255294253426,30
20,0.03975513248393929,0.007869170118119283,0.03699409317690876,0.042562942821532446,30
30,0.016004190438737433,0.006558888943004716,0.013737566333729731,0.018492388747787677,30
40,0.016881858867903488,0.00726962245038968,0.014350680247880453,0.019536049132390498,30
50,0.014016881771385622,0.006546267096168315,0.011734332004950028,0.016460109985588688,30
60,0.012509910358736871,0.006297801374320869,0.010413436615296291,0.014930484890549722,30
70,0.014498600224032942,0.007143791877806329,0.012130220240214781,0.017256206272480347,30
80,0.015395273811494265,0.006809257694060518,0.013050042993078584,0.01791841015840566,30
90,0.020848053616161096,0.013001812113110082,0.01649751757582024,0.025835272723731227,30
100,0.017679926784088158,0.007547651221151421,0.015054090270617305,0.020465682100815032,30
