eval_year,avg,min,max,n_runs
0,0.06379515677690502,0.0366872660815715,0.0879768207669258,30
10,0.0855341018842799,0.0662882924079895,0.1080553531646728,30
20,0.03983882601772031,0.0239263251423835,0.0550528988242149,30
30,0.015470591506787668,0.0082707833498716,0.0388236865401268,30
40,0.01661674004779856,0.0071674971841275,0.0341131128370761,30
50,0.01360382202879654,0.0069523355923593,0.0326698347926139,30
60,0.011961630395879665,0.0072498572990298,0.0335867442190647,30
70,0.013889518533168038,0.0075388429686427,0.0387221276760101,30
80,0.01508298606079599,0.0086211264133453,0.0321572832763195,30
90,0.019743349436404403,0.0079962834715843,0.0648606270551681,30
100,0.017468577550191915,0.0089205466210842,0.0341272503137588,30
