eval_year,avg,min,max,n_runs
0,0.011254026454740287,0.010857312940061,0.0128737492486834,30
10,0.014830227276044189,0.0143233155831694,0.016056153923273,30
20,0.015749300098312703,0.0148641327396035,0.0167432762682437,30
30,0.016037498334688753,0.0151133323088288,0.0181166473776102,30
40,0.01651267314861922,0.0157538875937461,0.0172115303575992,30
50,0.016588796262762325,0.0154978837817907,0.0177061315625906,30
60,0.016785326746425404,0.0156607534736394,0.0180871598422527,30
70,0.016764247623671336,0.0156155535951256,0.0181151125580072,30
80,0.0167845458324466,0.0158359557390213,0.0177546795457601,30
90,0.016961655047322974,0.0155606400221586,0.0187565069645643,30
100,0.016814427383776174,0.0160114038735628,0.0179368685930967,30
