eval_year,avg,min,max,n_runs
0,0.011087969244856851,0.0108225215226411,0.0128856608644127,30
10,0.014842728552009318,0.0137178367003798,0.0158325266093015,30
20,0.016915582186941547,0.0155974514782428,0.0213864389806985,30
30,0.01821211026981468,0.0165325812995433,0.022461574524641,30
40,0.01920218446425024,0.0168855488300323,0.0237189549952745,30
50,0.01943455782851997,0.0164574198424816,0.0218576230108737,30
60,0.019707977439143775,0.0179621540009975,0.0216430965811014,30
70,0.020007799579096652,0.0181892570108175,0.0233866777271032,30
80,0.019967242077525118,0.0181603822857141,0.0231436919420957,30
90,0.020276203485471822,0.0180024299770593,0.0238716006278991,30
100,0.02092005638405675,0.0188476722687482,0.0250614620745182,30
